Date,Selected_Assets
2022-01-03,"['COCOA', 'COFFEE', 'Copper', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'FTSE', 'FTSE100', 'Gold', 'Hyundai', 'IWM', 'Kakao', 'KOSDAQ', 'KOSPI200', 'LGChem', 'MSCI_EM', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NaturalGas', 'Nikkei225', 'NYSE', 'OMX', 'Palladium', 'Platinum', 'QQQ', 'Samsung', 'Shanghai', 'Silver', 'Soybeans', 'STEEL', 'US30Y', 'US3M', 'US5Y', 'USDCNY', 'USDJPY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-04,"['COCOA', 'COFFEE', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'KOSPI200', 'LGChem', 'MSCI_EM', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NaturalGas', 'Nikkei225', 'NYSE', 'OMX', 'Palladium', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US3M', 'US5Y', 'USDCNY', 'USDJPY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-05,"['COCOA', 'COFFEE', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'LGChem', 'MSCI_EM', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NaturalGas', 'Naver', 'Nikkei225', 'NYSE', 'OMX', 'Palladium', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US3M', 'USDCNY', 'USDJPY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-06,"['BTC', 'COCOA', 'COFFEE', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'LGChem', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'NaturalGas', 'Naver', 'Nikkei225', 'NYSE', 'OMX', 'Palladium', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US3M', 'US5Y', 'USDCNY', 'USDJPY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-07,"['BTC', 'CAC40', 'COCOA', 'COFFEE', 'Copper', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'KOSPI200', 'LGChem', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'OMX', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'US3M', 'USDCNY', 'USDJPY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-10,"['BTC', 'CAC40', 'COCOA', 'COFFEE', 'Copper', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'KOSPI200', 'LGChem', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'OMX', 'Palladium', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'SUGAR', 'US_Dollar_Index', 'US3M', 'USDCNY', 'USDJPY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-11,"['CAC40', 'COCOA', 'Copper', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'KOSPI200', 'LGChem', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'OMX', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'STEEL', 'SUGAR', 'US_Dollar_Index', 'US3M', 'USDCNY', 'USDJPY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-12,"['COCOA', 'COTTON', 'ETHANOL', 'EuroStoxx50', 'EURUSD', 'FTSE', 'Gold', 'IWM', 'KOSDAQ', 'KOSPI200', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'US3M', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-13,"['CAC40', 'COCOA', 'COTTON', 'ETHANOL', 'EuroStoxx50', 'EURUSD', 'Gold', 'HangSeng', 'IWM', 'KOSDAQ', 'KOSPI200', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'Platinum', 'QQQ', 'Shanghai', 'Silver', 'US3M', 'USDCNY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
2022-01-14,"['CAC40', 'COCOA', 'COTTON', 'ETHANOL', 'EUR_KRW', 'EuroStoxx50', 'EURUSD', 'FTSE', 'FTSE100', 'Gold', 'HangSeng', 'Hyundai', 'IWM', 'KOSDAQ', 'KOSPI200', 'LGChem', 'MSCI_World', 'Nasdaq.US.Benchmark.Consumer.Digital.Services', 'Naver', 'NYSE', 'OMX', 'Palladium', 'Platinum', 'QQQ', 'Samsung', 'Shanghai', 'Silver', 'STEEL', 'US_Dollar_Index', 'US3M', 'USDCNY', 'WTI', 'XLE', 'XLF', 'XLI', 'XLK', 'XLP', 'XLRE', 'XLU', 'XLV', 'XLY']"
