Date,Open,High,Low,Close,Volume
,CC=F,CC=F,CC=F,CC=F,CC=F
2015-01-02,2917.0,2944.0,2896.0,2927.0,11227
2015-01-05,2933.0,2954.0,2909.0,2944.0,10058
2015-01-06,2930.0,2942.0,2888.0,2902.0,11870
2015-01-07,2911.0,2923.0,2899.0,2912.0,7640
2015-01-08,2918.0,3016.0,2911.0,2986.0,24195
2015-01-09,2998.0,3003.0,2956.0,2968.0,15657
2015-01-12,2952.0,3002.0,2933.0,2994.0,8528
2015-01-13,2988.0,3015.0,2974.0,2991.0,10476
2015-01-14,2984.0,2998.0,2957.0,2992.0,10155
2015-01-15,2960.0,3003.0,2955.0,2977.0,9567
2015-01-16,2974.0,2977.0,2936.0,2942.0,0
2015-01-20,2954.0,2959.0,2919.0,2925.0,11401
2015-01-21,2919.0,2921.0,2840.0,2852.0,26817
2015-01-22,2849.0,2849.0,2795.0,2801.0,24094
2015-01-23,2785.0,2801.0,2754.0,2755.0,22641
2015-01-26,2749.0,2769.0,2731.0,2737.0,14986
2015-01-27,2743.0,2754.0,2728.0,2743.0,18601
2015-01-28,2739.0,2752.0,2712.0,2715.0,18026
2015-01-29,2710.0,2714.0,2683.0,2686.0,19639
2015-01-30,2686.0,2717.0,2682.0,2693.0,17536
2015-02-02,2682.0,2694.0,2669.0,2672.0,16538
2015-02-03,2675.0,2732.0,2673.0,2691.0,24127
2015-02-04,2706.0,2778.0,2705.0,2724.0,24628
2015-02-05,2725.0,2756.0,2715.0,2743.0,18901
2015-02-06,2753.0,2786.0,2742.0,2775.0,19374
2015-02-09,2785.0,2872.0,2780.0,2867.0,17756
2015-02-10,2864.0,2872.0,2825.0,2863.0,13143
2015-02-11,2860.0,2884.0,2843.0,2879.0,10027
2015-02-12,2885.0,2962.0,2878.0,2955.0,9680
2015-02-13,2955.0,2979.0,2919.0,2969.0,953
2015-02-17,2962.0,2991.0,2950.0,2990.0,117
2015-02-18,2990.0,3028.0,2975.0,3027.0,110
2015-02-19,3006.0,3014.0,3000.0,3025.0,20
2015-02-20,2989.0,3016.0,2987.0,3027.0,25
2015-02-23,3005.0,3058.0,3004.0,3054.0,75
2015-02-24,3040.0,3085.0,3040.0,3082.0,318
2015-02-25,3024.0,3037.0,3024.0,3024.0,32
2015-02-26,3008.0,3008.0,3007.0,3051.0,267
2015-02-27,3077.0,3100.0,3077.0,3102.0,78
2015-03-02,3102.0,3102.0,3060.0,3086.0,44
2015-03-03,3083.0,3116.0,3063.0,3100.0,12
2015-03-04,3061.0,3088.0,3060.0,3087.0,19
2015-03-05,3064.0,3064.0,3064.0,3075.0,7
2015-03-06,3015.0,3015.0,3015.0,3023.0,1
2015-03-09,3005.0,3005.0,2995.0,3000.0,10
2015-03-10,2997.0,2998.0,2995.0,2979.0,6
2015-03-11,2978.0,2978.0,2935.0,2940.0,21
2015-03-12,2922.0,2922.0,2922.0,2922.0,11
2015-03-13,2941.0,2941.0,2913.0,2902.0,10
2015-03-16,2869.0,2869.0,2869.0,2869.0,15392
