Price,Close,High,Low,Open,Volume
Ticker,005380.KQ,005380.KQ,005380.KQ,005380.KQ,005380.KQ
Date,,,,,
2015-01-02,118099.46875,119147.68888683431,116701.84190088756,118099.46875,458014
2015-01-05,117400.6796875,119497.12039620537,116003.0525483631,119497.12039620537,454073
2015-01-06,114954.8046875,116701.83819338905,114605.39798632218,116352.43149221124,635059
2015-01-07,118798.2734375,119846.49349724266,113906.57982536765,113906.57982536765,511006
2015-01-08,124388.8046875,124388.8046875,119497.11012113764,120545.33038535815,902742
2015-01-09,125786.3984375,127533.43174913195,124039.36512586806,125786.3984375,717579
2015-01-12,124039.359375,125436.98595950704,122641.73279049297,124388.76602112676,684147
2015-01-13,125437.0390625,126834.66623868383,124388.8186803621,126834.66623868383,713861
2015-01-14,124039.359375,127533.42583626762,123340.54608274648,126485.20589788734,392613
2015-01-15,121942.984375,124388.8321991404,121244.17071095988,124388.8321991404,378944
2015-01-16,119497.09375,121593.53399122806,118099.4669225146,120195.90716374268,584513
2015-01-19,120545.328125,121244.14162137681,119497.10788043478,120545.328125,317800
2015-01-20,121244.125,121942.93840057637,120195.90489913545,120894.71829971182,230296
2015-01-21,119846.546875,122991.2084548105,117750.10582179301,120545.36055940234,487848
2015-01-22,117400.6796875,121593.56110491072,114954.83219401042,119846.5271809896,934624
2015-01-23,117400.6796875,119497.12039620537,116701.86611793155,119147.71361142113,808652
2015-01-26,114954.8046875,116352.43149221124,114255.99128514437,115653.61808985562,1025813
2015-01-27,114605.3984375,116003.02524771342,112508.95822217988,116003.02524771342,807357
2015-01-28,115653.6328125,116003.03955815709,113906.5990842145,114954.81932118579,575233
2015-01-29,116701.8515625,117750.07178611527,114954.81785647455,115653.63133888472,415472
2015-01-30,118448.8828125,119497.10301438054,116701.84914269912,117750.06934457965,708694
2015-02-02,119497.09375,119497.09374999999,117750.06021564327,118798.2803362573,434084
2015-02-03,116003.0234375,118448.87031720633,115653.6167403991,118099.46362010542,704421
2015-02-04,116352.421875,117400.64189189188,115653.6085304054,116352.42187499999,827022
2015-02-05,116003.0234375,117051.2435288027,115653.6167403991,116003.0234375,381546
2015-02-06,114255.9921875,116701.83911506117,112508.95866781347,116003.02570718655,1051919
2015-02-09,110063.125,113557.19246031747,109014.90476190476,113207.78571428571,865369
2015-02-10,109364.3046875,111810.15175718849,109014.89796325879,109713.71141174121,543125
2015-02-11,109713.7265625,110412.54010748408,108316.09947253185,110063.13333499205,590973
2015-02-12,108316.09375,110412.53427419355,108316.09375,110412.53427419355,545256
2015-02-13,110412.5234375,112159.55703619463,109014.89655854431,109014.89655854431,565464
2015-02-16,110412.5234375,111810.1503164557,110063.11671776108,111111.33687697785,305310
2015-02-17,113557.203125,114256.01668269231,110412.54211538461,110412.54211538461,616701
2015-02-23,113207.78125,116701.84857253087,112159.56105324074,116003.03510802469,661014
2015-02-24,113557.203125,114954.83024038462,112858.38956730769,114605.42346153846,450646
2015-02-25,114605.3984375,114954.80514005336,113557.17832983994,114255.99173494664,502056
2015-02-26,114255.9921875,114954.80559537462,113207.77207568807,114954.80559537462,472204
2015-02-27,112159.5625,114605.40965732088,111810.15576323988,113906.59618380063,668860
2015-03-02,112858.40625,113557.21991099071,111810.18575851394,113207.81308049535,478539
2015-03-03,116352.421875,117750.04856418919,112858.35515202701,113557.16849662161,735321
2015-03-04,114255.9921875,118099.4659308104,113906.5854835627,117051.24581899848,635636
2015-03-05,117051.25,118099.47014925373,113906.5895522388,113906.5895522388,481426
2015-03-06,120894.7421875,121244.14895682802,117400.67449421965,118099.48803287571,930838
2015-03-09,118099.46875,120894.72244822484,118099.46875,120545.31573594674,616415
2015-03-10,120894.7421875,121244.14895682802,118798.30157153179,119497.11511018785,657344
2015-03-11,123340.5625,124738.18927053825,118798.27549575071,119497.08888101984,1126499
2015-03-12,120195.921875,124039.39612100292,120195.92187500001,124039.39612100292,839816
2015-03-13,120195.921875,121942.95562318315,118798.2948764535,121244.1421239099,497175
2015-03-16,122641.7890625,123690.00948183761,120195.94141737893,120545.3482238248,794357
2015-03-17,127184.0625,127184.0625,123689.9948489011,124388.80837912088,1193025
2015-03-18,127184.0625,129979.31662087912,127184.0625,127882.87603021978,868610
2015-03-19,128581.71875,130678.1598165761,126135.87083899457,129979.34612771739,772519
2015-03-20,126485.2421875,129629.9029048688,125087.61520200277,129280.49615849448,798518
2015-03-23,125087.625,127533.47241620111,123340.59113128492,127184.0656424581,650348
2015-03-24,122292.3828125,124738.23046875,120894.75558035714,124738.23046875,868581
2015-03-25,118798.2734375,121942.93361672794,118798.2734375,121244.12024356618,894773
2015-03-26,118099.46875,120195.90902366863,117051.24861316568,117750.06203772189,630097
2015-03-27,117051.25,119497.09701492537,116701.84328358209,118798.28358208954,556195
2015-03-30,116701.8515625,118798.29200973053,116352.4448212949,117750.07178611527,400470
2015-03-31,117750.046875,120545.30021327893,117051.23354043027,118798.2668768546,545852
2015-04-01,114605.3984375,117400.65205792683,113906.5850323933,117051.24535537348,687942
2015-04-02,114605.3984375,117400.65205792683,114605.3984375,115653.61854516006,499028
2015-04-03,116003.0234375,117051.2435288027,115653.6167403991,116352.4301346009,406857
2015-04-06,113207.78125,116352.44184027778,113207.78125,116352.44184027778,567728
2015-04-07,112858.40625,114605.44040247679,112159.59258900929,113557.21991099071,493303
2015-04-08,112508.96875,114256.00242624224,112508.96875000001,113557.18895574535,582165
2015-04-09,112858.40625,114954.84723297214,112508.99941950465,112508.99941950465,552693
2015-04-10,117051.25,117750.06343283581,113557.18283582089,113557.18283582089,897568
2015-04-13,116701.8515625,118448.88526852544,116352.4448212949,118099.47852732035,874056
2015-04-14,119497.09375,119846.50045687133,116003.02668128654,117051.24680190058,855013
2015-04-15,118798.2734375,121244.12024356618,118448.86675091911,121244.12024356618,582563
2015-04-16,118099.46875,119497.09559911242,116701.84190088756,119147.68888683431,642025
