Price,Close,High,Low,Open,Volume
Ticker,035720.KQ,035720.KQ,035720.KQ,035720.KQ,035720.KQ
Date,,,,,
2015-01-02,27129.71875,27426.32646228134,24578.892424380465,24598.666271865888,5814505
2015-01-05,28573.212890625,28830.27293739187,27604.294252811418,27782.2589005731,6872685
2015-01-06,28731.40234375,29522.35629677822,28177.73457663025,28533.66385549295,5229540
2015-01-07,29304.84765625,29522.360020770073,28237.059684969638,28474.345900809716,4295315
2015-01-08,29126.880859375,29957.382553939664,28968.690060410303,29641.000956010266,3656030
2015-01-09,29561.904296875,29680.54739104306,29087.33192020276,29502.58274979097,3287035
2015-01-12,28751.177734375,29383.94093072988,27960.223738931396,29265.297831413343,4987730
2015-01-13,28197.509765625,29126.880704604224,28019.54511773536,28751.177559059433,3019265
2015-01-14,28553.4375,28770.949835526317,27802.03125,28177.734375,2345760
2015-01-15,30530.818359375,30550.59220546268,28592.981442782544,28770.946057571648,6105915
2015-01-16,30352.857421875,31025.16827030741,29799.189664342426,30609.91745215798,4141650
2015-01-19,30095.798828125,31183.36054661835,30056.2511292707,31163.586697191196,2481915
2015-01-20,30491.275390625,30768.10927873703,29838.738368646642,30293.536899116407,2370075
2015-01-21,30253.98828125,30609.917555147058,30076.02364430147,30392.405221098856,1501740
2015-01-22,29166.423828125,30847.200794491524,28889.5899748411,30253.985394597457,3518000
2015-01-23,30807.658203125,30827.43205306282,29028.01170872112,29502.58410722882,3748330
2015-01-26,31084.490234375,31638.157999363866,30906.525595628576,31143.811780623804,3134875
2015-01-27,30273.763671875,31143.813052386104,29898.06053029066,31143.813052386104,3543710
2015-01-28,31124.037109375,31163.584805829098,30273.761635611896,30550.595510790583,2650720
2015-01-29,30926.296875,31222.904581601662,30511.046085757673,31183.35688738811,1872510
2015-01-30,30194.66796875,31539.289725053208,30076.024872605598,31044.943491118203,2473375
2015-02-02,29443.26171875,30155.120296234887,29265.297074378777,30076.024898736567,2249660
2015-02-03,29660.7734375,29779.41653125,28711.6286875,29285.070307291666,2546285
2015-02-04,29581.67578125,29937.605035302473,29324.615764434322,29482.8065440132,1551640
2015-02-05,29621.224609375,30135.344662675234,29482.807671948012,29779.415395005843,1354505
2015-02-06,28810.5,29898.06177076184,28652.309196980095,29759.644818119425,2192295
2015-02-09,27564.74609375,29047.78480037213,27307.68605126883,28672.08166136119,3533040
2015-02-10,27782.26171875,28652.31119606317,26595.830613322953,27149.498462522242,4678910
2015-02-11,29186.19921875,29443.259238969342,27782.256031398203,27782.256031398203,2877280
2015-02-12,28711.62890625,30115.57219298812,28098.639583871383,29838.73830546229,4437835
2015-02-13,27920.673828125,28790.72315421388,27841.578434844192,28790.72315421388,2793375
2015-02-16,27643.841796875,27999.771090396996,27406.555601193668,27683.38949615522,1472590
2015-02-17,27544.9765625,27960.227465452263,27248.368774676957,27268.142627198493,1353040
2015-02-23,26813.341796875,27742.712788359608,26734.246393344398,27544.974279533093,2294240
2015-02-24,26833.11328125,27446.102604550477,26299.21935450442,26714.47018641765,2110215
2015-02-25,26674.919921875,27406.552269621014,26674.919921875,27070.396866602576,1766825
2015-02-26,25864.1953125,26912.20934274656,25745.55221473624,26773.792395355504,3272250
2015-02-27,26318.994140625,26318.994140625,25923.51714377113,26002.612543141902,2088635
2015-03-02,25350.07421875,26496.95745173557,25330.30036990542,26358.540509823517,3021605
2015-03-03,25607.130859375,25785.0954753861,25389.618550916988,25488.487782034266,1402575
2015-03-04,26259.673828125,26773.79394825395,25429.172095608996,25547.81520025414,3334265
2015-03-05,26101.48046875,26655.14823626894,25982.837375710227,26259.671259469695,1706790
2015-03-06,25883.96875,26378.314982811306,25646.682558250573,26101.481092436974,1817935
2015-03-09,25468.716796875,26200.349189331813,25429.169099985444,26101.47994710792,1761445
2015-03-10,24756.859375,25844.421088757987,24638.216278953674,25765.32569139377,2487160
2015-03-11,23965.908203125,24756.862269234734,23926.36049981951,24341.611384527125,3180145
2015-03-12,24420.703125,24677.763157894737,23965.904605263157,23965.904605263157,1708515
2015-03-13,23807.712890625,24578.892959341258,23787.939042709197,24203.18984894103,2908370
2015-03-16,23530.8828125,24104.324494485292,23234.27504595588,23906.58598345588,4232290
2015-03-17,23451.7890625,23926.36152244941,23293.598242516866,23530.88447249157,3002835
2015-03-18,22245.578125,23787.938208333333,22166.482736111113,23254.044333333335,7319330
2015-03-19,22463.09375,22601.510700924297,21098.698090889084,22285.12909881162,10370965
2015-03-20,23926.357421875,23926.357421875,22463.092587809915,22601.50953157283,9296085
2015-03-23,23867.033203125,24697.534772744926,23807.71166243786,24361.379375517812,6264050
2015-03-24,22838.794921875,23926.35658482143,22838.794921875,23926.35658482143,4778655
2015-03-25,22443.318359375,23076.08152016795,22265.353720401985,22838.795334870596,3558895
2015-03-26,22245.578125,23115.62740277778,22166.482736111113,22324.67351388889,4228110
2015-03-27,22403.771484375,22522.414581379635,22087.389892362644,22285.12838737037,1468330
2015-03-30,22819.0234375,23095.8573440208,22423.546428184574,22641.058783308057,2298665
2015-03-31,22819.0234375,23194.726596349654,22463.094129116118,23135.40504495234,2290820
2015-04-01,22542.1875,22759.699835526317,22463.092105263157,22621.282894736843,1612470
2015-04-02,21612.81640625,22561.961134063356,21573.268709257776,22463.0918915828,4892115
2015-04-03,21672.138671875,22186.258749857436,21573.269426109146,21632.59097356866,2055340
2015-04-06,21237.11328125,21593.04255412011,20920.731705365455,21296.434826728353,4005845
2015-04-07,21197.568359375,21790.783891820196,21158.020657211986,21375.53301910856,2464425
2015-04-08,21177.79296875,21454.62686376634,21118.471419817928,21316.209916258173,2166770
2015-04-09,21810.5546875,22502.639378399817,20920.731513485945,21118.46999660018,6893505
2015-04-10,21355.755859375,22146.70978009259,21355.755859375,21830.328211805554,3094685
2015-04-13,21177.79296875,21711.686909138658,21019.602171597806,21335.983765902194,2624320
2015-04-14,22522.4140625,22838.795647223444,21217.340025515805,21217.340025515805,9201055
2015-04-15,22107.16015625,22819.018622819767,22107.16015625,22700.37554505814,3866535
2015-04-16,22542.1875,22779.473684210527,21909.424342105263,22304.901315789473,4257325
2015-04-17,22641.056640625,23609.975221752185,22561.961246247272,23313.3674928357,7107700
2015-04-20,22937.666015625,23095.856815732757,22423.545915274783,22443.31976528825,2845540
2015-04-21,22522.4140625,23254.04647717296,22482.866364409572,23135.40338290167,2540100
