Price,Close,High,Low,Open,Volume
Ticker,051910.KQ,051910.KQ,051910.KQ,051910.KQ,051910.KQ
Date,,,,,
2015-01-02,158045.21875,158484.2332465278,155411.13177083334,157606.20425347224,231092
2015-01-05,153216.015625,157606.1593391834,152337.98688216333,157167.14496776505,318170
2015-01-06,145752.796875,150142.94135918675,143557.72463290664,149703.9269107681,567304
2015-01-07,144435.765625,147069.85253609423,143118.72216945287,143996.7511398176,335124
2015-01-08,147508.859375,148825.9027622768,146191.8159877232,147069.8449125744,274598
2015-01-09,156728.15625,157606.18513655462,151020.96848739497,152338.01181722688,429244
2015-01-12,158484.234375,159801.27787396123,155411.13287742384,156728.17637638503,202770
2015-01-13,158045.21875,158484.2332465278,153216.05928819446,156289.16076388888,212888
2015-01-14,155850.09375,159362.2085387324,154533.05070422534,158484.1798415493,160434
2015-01-15,156728.15625,158045.19957983194,154972.09847689077,157606.18513655462,126385
2015-01-16,153655.046875,155850.1189732143,152338.00361607142,155411.10455357144,166914
2015-01-19,158045.21875,160240.2912326389,156289.16076388888,156289.16076388888,160144
2015-01-20,160679.296875,162435.35476434426,158045.2100409836,158923.23898565574,235374
2015-01-21,161996.359375,163752.41747120596,159801.28675474253,159801.28675474253,200089
2015-01-22,169459.578125,169459.578125,163313.3758095855,163752.39026068652,350725
2015-01-23,171215.65625,175166.78677884614,169459.59823717948,172093.68525641024,452331
2015-01-26,164191.390625,170776.60682653743,163752.37621156417,170776.60682653743,429528
2015-01-27,174727.734375,174727.734375,162874.34535961057,165508.43180747487,522631
2015-01-28,174727.734375,177361.82082286433,172532.66233511307,175166.7487829774,290261
2015-01-29,174727.734375,176483.79200690956,168581.53266331658,171654.6335191583,318412
2015-01-30,174288.71875,177361.81958438287,173849.70434508816,177361.81958438287,252912
2015-02-02,180434.9375,183069.02417883213,176922.82192822386,177800.8508211679,336294
2015-02-03,182630.015625,185264.1023888221,180873.9577824519,183508.04454627403,305131
2015-02-04,187459.140625,190532.2412909836,183947.02557816159,188337.1693867096,512438
2015-02-05,177361.8125,185264.07147277228,177361.8125,185264.07147277228,296204
2015-02-06,183947.0625,183947.0625,179117.9033412888,181312.97568615753,243525
2015-02-09,189215.203125,190093.2319098028,185264.07359338747,187020.13116299303,311884
2015-02-10,190532.28125,195800.4549251152,187020.16546658985,187020.16546658985,367022
2015-02-11,188337.203125,193166.3621794872,186142.13082750584,190532.27542249416,258649
2015-02-12,185264.09375,188337.19483116112,183069.0215491706,187459.16595082937,207556
2015-02-13,192727.34375,193166.35820045558,188776.21369589976,189654.24259681092,277709
2015-02-16,189654.25,198434.53935185185,189215.23553240742,194922.42361111112,269835
2015-02-17,191849.328125,192727.35708667047,187020.16883581234,191849.328125,151867
2015-02-23,194483.390625,196678.46275395033,194044.37619920995,194483.390625,236889
2015-02-24,194922.421875,194922.421875,190971.2917018581,194483.40741131754,144149
2015-02-25,202385.671875,203263.70082022776,194922.42584056398,196239.46925840565,289979
2015-02-26,203702.734375,205019.77791621766,200190.6182650862,204580.76340247845,270781
2015-02-27,201946.65625,202824.6851902174,197995.52601902175,200629.6128396739,257110
2015-03-02,205458.765625,207653.83790731838,201507.6355168269,204580.73671207266,282395
2015-03-03,205897.796875,206775.8258595416,202385.6809368337,204580.75339818763,168525
2015-03-04,201507.671875,206336.83176742922,201068.65733932462,203702.74455337692,226515
2015-03-05,201946.65625,203702.7141304348,201507.6417798913,201946.65625,162358
2015-03-06,204580.75,206336.80793991417,198434.54721030043,198434.54721030043,175241
2015-03-09,206775.8125,208531.8703556263,202385.66786093416,202385.66786093416,190784
2015-03-10,208092.828125,212921.98658359703,207653.813719673,209848.88574630802,228478
2015-03-11,205458.765625,206775.80899439103,202824.67888621794,205019.7511685363,222199
2015-03-12,206336.78125,211165.93996010636,203702.69468085104,205019.73796542553,359315
2015-03-13,205019.765625,208092.8670369379,204580.75113758032,208092.8670369379,162685
2015-03-16,193605.375,202824.67857142855,192727.34608843536,202824.67857142855,402430
2015-03-17,200190.578125,200190.578125,194044.37616502194,194483.39059073466,217773
2015-03-18,199312.5625,200629.60586453744,195800.44686123347,200190.59140969164,185876
2015-03-19,205458.765625,207653.83790731838,201946.6499732906,202824.67888621794,209546
2015-03-20,205897.796875,205897.796875,201068.63746002133,202824.6954291045,169460
2015-03-23,205019.765625,207653.8525495182,204141.7366501606,207214.8380620985,119147
2015-03-24,203263.703125,204580.74655777536,199312.57282667386,204141.73208018357,144947
2015-03-25,198434.515625,203702.6886061947,197556.48679480088,203263.67419109514,253918
2015-03-26,198434.515625,201068.60211559734,196239.4435495022,197556.48679480088,272721
2015-03-27,198873.53125,200629.58892108168,197117.47357891832,198434.5168322296,163861
2015-03-30,197556.5,198434.5288888889,194922.41333333333,197995.51444444444,179490
2015-03-31,198434.515625,200629.5877004978,198434.515625,200190.57328539822,131695
2015-04-01,197556.5,200190.58666666667,194922.41333333333,200190.58666666667,113762
2015-04-02,201068.625,204141.72625545852,200190.596069869,200629.6105349345,166357
2015-04-03,199751.578125,201507.63595467035,197995.52029532968,201068.62149725275,155013
2015-04-06,200629.625,201946.66849015318,197117.50902625822,198434.55251641138,120523
2015-04-07,201068.625,206336.79858078604,201068.625,204141.72625545852,136854
2015-04-08,212043.953125,212482.96752070394,201068.59323240165,201507.6076281056,351434
2015-04-09,223019.34375,226531.45939960628,212043.9823449803,212922.01125738188,511538
2015-04-10,224775.40625,225653.43518066406,220385.2615966797,222580.33392333984,208427
2015-04-13,238384.84375,238823.8581952118,224775.39594843463,224775.39594843463,477231
2015-04-14,241457.90625,242335.935,233555.64750000002,237067.7625,307661
2015-04-15,242774.984375,246726.11431962025,238823.85443037975,240579.9121835443,221583
2015-04-16,231799.640625,246287.1181640625,230043.58274147726,243214.0168678977,463714
2015-04-17,229604.546875,234872.72003465582,225214.4025752868,232677.64788479923,364276
2015-04-20,248921.21875,252433.33471119928,232677.68242945327,233555.7114197531,535775
2015-04-21,243213.953125,250677.1971739621,243213.953125,249799.1684623195,216226
2015-04-22,249360.25,254628.42429577463,247604.19190140846,248043.20642605633,464904
2015-04-23,249360.25,254189.40977112675,246726.16285211267,249360.25,208870
2015-04-24,244970.0625,253311.3370295699,241457.94690860214,252872.32258064515,241895
2015-04-27,237067.796875,247165.12896412038,235750.75355902777,245409.07120949074,297655
2015-04-28,241018.9375,244531.0531648452,237506.82183515484,237506.82183515484,176947
2015-04-29,242335.96875,245848.08423913043,236628.78108016305,241457.9398777174,190047
2015-04-30,239701.859375,247604.11847527474,238823.83058608058,246287.0752918956,237552
2015-05-04,244531.046875,245409.07576862656,240140.90240686713,243653.0179813734,110318
2015-05-06,245848.109375,247604.16729910712,241896.97904575893,245409.0948939732,187826
2015-05-07,241457.90625,251116.2225,237506.776875,246287.06437500002,292838
2015-05-08,235311.75,244092.0391791045,234433.72108208956,242335.98134328358,215091
2015-05-11,238823.875,244092.0487132353,237067.81709558825,238384.86052389708,201185
2015-05-12,242335.96875,245409.06980298914,238384.83882472827,238384.83882472827,175592
2015-05-13,243653.0,245848.07207207207,241457.92792792793,243653.0,101067
2015-05-14,236189.78125,242335.98373605948,234433.72339684016,241457.95480947956,237561
2015-05-15,232677.640625,238823.84245283017,230482.56854363208,238384.8280365566,180310
2015-05-18,234872.71875,237506.80531542056,233555.67546728972,233994.68989485982,128506
2015-05-19,234433.71875,236628.79102294007,228726.5308403558,236628.79102294007,152667
