Price,Close,High,Low,Open,Volume
Ticker,035420.KQ,035420.KQ,035420.KQ,035420.KQ,035420.KQ
Date,,,,,
2015-01-02,142204.234375,142593.30204770862,138508.09148426814,138702.62532062244,321125
2015-01-05,145705.828125,145900.36194092123,140258.8812792056,141231.55035881174,562860
2015-01-06,144538.640625,146678.5128280619,142982.36993186406,144149.57295171602,461575
2015-01-07,142398.75,145705.82479508198,142009.68237704918,145705.82479508198,259935
2015-01-08,144733.171875,144927.70570816533,141815.16437752015,141815.16437752015,281960
2015-01-09,146289.453125,147651.19005568486,144344.1146525931,147651.19005568486,369935
2015-01-12,145900.34375,147845.68166666667,145122.20858333333,145122.20858333333,183665
2015-01-13,143955.03125,146873.03864020272,143565.963597973,146289.43716216218,244640
2015-01-14,143760.5,144927.70297699593,142398.76319350474,142982.3646820027,319250
2015-01-15,151152.765625,151347.29942889317,144149.54868484556,145511.2853120978,936180
2015-01-16,151152.765625,151736.36703667953,147262.08954713642,151541.83323278636,583295
2015-01-19,150958.234375,152514.50483247422,150374.63295344717,151736.3696037371,456525
2015-01-20,153681.6875,155043.423971519,151736.3496835443,151736.3496835443,506715
2015-01-21,151736.359375,153487.16352163462,149401.95384615383,152125.426963141,357820
2015-01-22,148818.359375,153487.1706495098,148234.75796568627,152319.96783088235,417195
2015-01-23,151736.359375,151736.359375,147845.68349358975,150763.69040464744,496485
2015-01-26,149985.546875,151541.81714088845,149401.94552529184,150763.68200794424,345015
2015-01-27,148623.8125,150763.68414594242,148040.2111420157,150569.15035994764,422445
2015-01-28,151152.765625,151736.36703667953,147845.69095881595,147845.69095881595,616100
2015-01-29,143176.890625,148234.76991338315,142204.22153108017,147845.70227581522,1392375
2015-01-30,139286.203125,142009.6763704609,138313.53410876397,141037.00735422486,1500305
2015-02-02,138313.515625,140647.9209520042,137535.38051599858,139286.18451125175,564970
2015-02-03,138508.046875,139480.71574350423,137146.3104590941,138313.51310129918,608205
2015-02-04,141037.046875,141426.11459051725,139091.7082974138,139286.24215517243,656765
2015-02-05,138508.046875,141036.98593311096,138118.97932759832,140453.38461200843,389445
2015-02-06,139091.65625,140258.8589597902,137729.91975524477,138313.52111013987,380000
2015-02-09,132477.515625,139091.6647164097,132282.98182819382,139091.6647164097,1071155
2015-02-10,126057.8984375,131893.91225405093,124307.09429253472,130337.64190297069,1851345
2015-02-11,130921.2734375,131699.40879225484,127030.59666372585,128392.33353454681,964140
2015-02-12,132282.96875,132282.96875,127614.15808823529,132282.96875,574635
2015-02-13,129948.5703125,134617.38122193114,129559.50273671407,131310.30682775076,499090
2015-02-16,130143.109375,131504.84594544096,129364.97419189088,129559.50798766816,277665
2015-02-17,130532.171875,131310.30702775708,129559.50293405364,129559.50293405364,176120
2015-02-23,124307.109375,130726.72535211267,122945.37265258215,129948.59008215962,1458905
2015-02-24,123918.03125,125863.36926020408,123528.96364795919,123918.03125,714755
2015-02-25,124696.171875,125279.77330343214,123139.90139918098,124307.10425604525,733120
2015-02-26,121778.171875,124696.17918829872,121778.171875,123723.51008386581,873715
2015-02-27,128586.828125,129948.56458018154,121194.54451115734,121194.54451115734,1331750
2015-03-02,125668.84375,129754.05384094427,124696.17468072755,128781.38477167182,752240
2015-03-03,126446.9765625,128197.78085336539,125668.84132211539,127030.57799278846,520120
2015-03-04,132282.96875,132672.03630514705,124307.08386948529,126252.42164522059,1342450
2015-03-05,134033.796875,136368.20262608855,131310.32349873005,132088.45874909288,840965
2015-03-06,132282.96875,135006.4416360294,130726.69852941176,134617.37408088235,461960
2015-03-09,127030.5859375,131115.79620501533,126836.05211523737,130143.12709370215,640980
2015-03-10,124696.171875,128197.78044559283,124696.171875,126836.04377925118,557990
2015-03-11,122361.765625,125668.84037162163,122361.765625,124307.10371124801,870575
2015-03-12,121972.6875,125474.29575358852,121972.6875,123139.89025119616,922700
2015-03-13,126446.9765625,127030.57799278846,124501.63846153846,125474.30751201924,786380
2015-03-16,125085.234375,127030.5723901633,123918.03156590203,127030.5723901633,628615
2015-03-17,128392.3046875,128975.90607244318,125279.76396780302,126252.43294270833,608620
2015-03-18,127225.109375,129559.5150516055,126446.97414946483,128003.24460053517,554585
2015-03-19,124696.171875,128781.38187402497,124696.171875,128586.8480645476,601960
2015-03-20,127225.109375,127225.109375,125085.23750477828,125085.23750477828,452620
2015-03-23,132282.96875,132477.50252757352,127808.69186580883,128392.29319852941,830885
2015-03-24,131310.3125,133255.65046296298,129754.04212962963,133255.65046296298,440255
2015-03-25,130337.65625,133255.6634794776,130143.1224347015,133061.1296641791,373600
2015-03-26,128586.828125,131310.30103536308,128392.29434568835,130337.63213880484,475305
2015-03-27,130726.71875,130921.2525576637,128781.3806733631,130532.18494233632,507190
2015-03-30,132477.515625,134617.38738986783,130921.24525055067,133255.65081222466,444640
2015-03-31,130532.171875,134422.8476387854,130143.10429862146,134228.3138505961,453590
2015-04-01,129754.0546875,131310.3252084895,128586.85179675787,130726.72376311844,375975
2015-04-02,124890.7109375,130143.12401431074,121389.10221962616,129170.45492601246,2405490
2015-04-03,125863.375,126252.44261978361,122945.36785162288,124112.57071097373,692920
2015-04-06,123528.9609375,127030.56927903544,123334.42714074804,126057.9002952756,456250
2015-04-07,124307.109375,125474.31227992957,123918.04174002347,124696.17700997653,342595
2015-04-08,125474.2890625,125863.3566254845,124501.62015503876,125085.22149951551,606450
2015-04-09,127030.5859375,130143.12709370215,125085.24771487367,125474.31535939893,881670
2015-04-10,126446.9765625,128781.38228365385,125863.37513221154,127419.64561298076,599965
2015-04-13,126836.046875,127419.64831767639,125085.24254697085,125668.84398964724,473740
2015-04-14,129754.0546875,129948.58850262368,126641.51364552099,126836.04746064467,631380
2015-04-15,130532.171875,130726.70566318926,129364.96914586438,130143.10429862146,426385
2015-04-16,130921.2734375,131310.3411148774,128781.40121192423,131115.80727618872,483985
2015-04-17,130143.109375,131699.37974121823,129754.04178344544,131310.31214966366,503265
2015-04-20,129559.5234375,130726.72635135135,128586.85434262386,128586.85434262386,437785
2015-04-21,130143.109375,130337.64317077727,127030.56864256352,130143.109375,591985
2015-04-22,131115.796875,132088.4659912834,130143.12775871663,132088.4659912834,712755
2015-04-23,132672.0625,133255.6639479472,129754.05526026392,132282.9948680352,630370
2015-04-24,129754.0546875,133255.66335972637,128197.7841665105,131893.92665386057,545635
2015-04-27,133061.109375,133839.24451754385,129754.0350191886,130921.23773300438,1020695
2015-04-28,133450.203125,134228.3384201895,132672.0678298105,134228.3384201895,668850
2015-04-29,132088.4375,134033.77531296024,131115.7685935199,132866.57262518408,817835
2015-04-30,126446.9765625,132672.0584855769,125863.37513221154,130337.65276442308,1598090
2015-05-04,117303.8828125,126252.4377202529,117303.8828125,125085.23490619817,1957505
2015-05-06,119249.21875,119832.82014681892,115942.1441680261,116914.81316272431,1484705
2015-05-07,118860.1484375,120027.35120448036,117498.41187602292,119249.21602649345,688875
2015-05-08,118471.0859375,120610.95776888341,118276.55213464696,118276.55213464696,443185
2015-05-11,117887.5,119443.77062706271,117303.89851485148,118665.63531353135,424635
2015-05-12,117692.9609375,118860.16385588843,116331.22419938016,116720.29183884297,447655
2015-05-13,117498.4140625,117887.48165873344,116720.2788700331,117498.4140625,404655
2015-05-14,118082.03125,118665.63272240528,116914.82830518945,116914.82830518945,307855
2015-05-15,118665.625,119054.69262295082,117887.48975409837,118665.625,311575
2015-05-18,120221.890625,120805.49203580097,119054.68780339806,119443.75541059871,519145
2015-05-19,121778.171875,122167.23951677316,120027.36748702076,121194.57041234025,517260
2015-05-20,119832.828125,123334.43673904221,119638.29431310877,123334.43673904221,335115
2015-05-21,118082.03125,119638.30184308073,115747.62536037892,118276.5650741351,808320
2015-05-22,121972.6875,121972.6875,118082.01166267942,118082.01166267942,404110
2015-05-26,120805.484375,123723.49124396135,120027.34920994364,123528.95745269727,363340
2015-05-27,118276.546875,120221.88481702303,116914.81031558388,120221.88481702303,598050
2015-05-28,117692.9609375,120027.36677427686,117692.9609375,119249.23149535124,378195
2015-05-29,118471.0859375,122361.76199456076,117498.4169232348,117498.4169232348,783030
2015-06-01,120027.3515625,120805.48674280793,118471.08120188411,118860.14879203809,402590
2015-06-02,118860.1484375,121194.55397146071,118276.54705400982,121000.020176964,355535
2015-06-03,116914.8203125,120610.96271838601,116914.8203125,120610.96271838601,329900
2015-06-04,112829.609375,117692.95460668103,112829.609375,117109.3531788793,878690
2015-06-05,109911.59375,113413.20204646018,109911.59375,110689.72892699114,843890
2015-06-08,114191.3359375,115553.0724818995,110495.19388841567,111078.79526458688,582700
2015-06-09,114774.953125,115747.62221927966,112246.01347987288,114774.953125,630925
2015-06-10,110495.203125,116525.75118287852,110495.203125,116525.75118287852,447735
