Date,Close,Open,High,Low
,SPLRCD,SPLRCD,SPLRCD,SPLRCD
2024.12.31,"1,831.16","1,862.13","1,865.88","1,828.33"
2024.12.30,"1,849.31","1,847.59","1,862.67","1,836.13"
2024.12.27,"1,879.21","1,900.34","1,902.20","1,867.14"
2024.12.26,"1,915.53","1,922.29","1,925.11","1,908.38"
2024.12.24,"1,927.87","1,889.88","1,927.89","1,888.68"
2024.12.23,"1,878.65","1,876.32","1,883.12","1,854.85"
2024.12.20,"1,870.88","1,843.90","1,899.75","1,840.20"
2024.12.19,"1,868.28","1,889.58","1,900.54","1,858.13"
2024.12.18,"1,866.84","1,944.86","1,964.52","1,860.08"
2024.12.17,"1,959.72","1,960.97","1,963.18","1,942.09"
2024.12.16,"1,954.20","1,930.68","1,954.93","1,927.64"
2024.12.13,"1,920.70","1,911.33","1,921.60","1,905.30"
2024.12.12,"1,912.67","1,924.67","1,931.44","1,909.98"
2024.12.11,"1,928.82","1,906.35","1,929.33","1,906.26"
2024.12.10,"1,890.55","1,889.22","1,908.49","1,884.82"
2024.12.9,"1,887.88","1,904.89","1,916.71","1,882.13"
2024.12.6,"1,894.19","1,865.46","1,894.21","1,862.94"
2024.12.5,"1,849.89","1,833.92","1,859.43","1,833.92"
2024.12.4,"1,832.47","1,818.12","1,834.48","1,816.75"
2024.12.3,"1,810.82","1,802.58","1,811.43","1,798.77"
2024.12.2,"1,808.41","1,803.75","1,813.15","1,801.87"
2024.11.29,"1,789.44","1,774.06","1,790.34","1,772.05"
2024.11.27,"1,769.79","1,784.48","1,785.39","1,765.70"
2024.11.26,"1,782.17","1,766.98","1,783.65","1,766.08"
2024.11.25,"1,766.25","1,770.49","1,783.89","1,764.56"
2024.11.22,"1,748.90","1,735.33","1,755.55","1,731.55"
2024.11.21,"1,728.46","1,736.47","1,736.48","1,716.39"
2024.11.20,"1,733.68","1,735.57","1,736.86","1,714.25"
2024.11.19,"1,743.67","1,719.08","1,748.72","1,715.57"
2024.11.18,"1,736.30","1,740.39","1,752.94","1,724.84"
2024.11.15,"1,721.70","1,728.12","1,737.98","1,711.00"
2024.11.14,"1,745.48","1,770.73","1,778.54","1,743.34"
2024.11.13,"1,772.70","1,763.07","1,778.86","1,760.04"
2024.11.12,"1,752.64","1,767.59","1,769.93","1,745.22"
2024.11.11,"1,772.07","1,767.63","1,780.11","1,755.66"
2024.11.8,"1,741.51","1,721.64","1,750.98","1,717.03"
2024.11.7,"1,720.39","1,702.27","1,728.33","1,699.43"
2024.11.6,"1,697.06","1,678.65","1,697.73","1,662.22"
2024.11.5,"1,637.75","1,612.62","1,639.35","1,611.67"
2024.11.4,"1,608.37","1,610.88","1,622.02","1,603.70"
2024.11.1,"1,618.22","1,622.68","1,635.26","1,615.38"
2024.10.31,"1,580.24","1,601.76","1,605.77","1,576.98"
2024.10.30,"1,609.44","1,616.25","1,623.74","1,608.59"
2024.10.29,"1,609.26","1,602.16","1,612.89","1,597.72"
2024.10.28,"1,612.48","1,624.37","1,628.71","1,612.42"
2024.10.25,"1,610.51","1,607.09","1,625.54","1,604.92"
2024.10.24,"1,602.74","1,585.90","1,605.02","1,580.31"
2024.10.23,"1,552.44","1,568.14","1,571.44","1,544.32"
2024.10.22,"1,581.21","1,575.01","1,588.29","1,569.20"
2024.10.21,"1,585.54","1,590.80","1,591.75","1,577.66"
2024.10.18,"1,595.78","1,588.67","1,601.97","1,586.26"
2024.10.17,"1,588.60","1,594.62","1,595.49","1,582.36"
2024.10.16,"1,588.58","1,584.69","1,590.81","1,579.89"
2024.10.15,"1,583.51","1,581.68","1,593.11","1,577.90"
2024.10.14,"1,580.31","1,580.31","1,583.82","1,573.36"
2024.10.11,"1,576.52","1,566.28","1,583.88","1,565.41"
2024.10.10,"1,583.00","1,589.49","1,591.51","1,577.90"
2024.10.9,"1,587.08","1,579.04","1,590.59","1,572.74"
2024.10.8,"1,575.63","1,567.83","1,578.02","1,565.06"
2024.10.7,"1,559.45","1,573.93","1,575.04","1,555.04"
2024.10.4,"1,589.97","1,588.78","1,592.93","1,571.43"
2024.10.3,"1,564.63","1,569.56","1,575.57","1,559.71"
2024.10.2,"1,584.84","1,581.00","1,591.09","1,573.83"
2024.10.1,"1,597.25","1,600.90","1,604.45","1,577.33"
2024.9.30,"1,605.41","1,604.04","1,611.14","1,589.78"
2024.9.27,"1,609.92","1,615.02","1,617.81","1,605.00"
2024.9.26,"1,611.15","1,624.16","1,624.59","1,601.43"
2024.9.25,"1,608.97","1,610.41","1,613.71","1,604.61"
2024.9.24,"1,615.03","1,612.35","1,615.78","1,596.45"
2024.9.23,"1,602.81","1,586.67","1,603.60","1,585.68"
2024.9.20,"1,582.22","1,581.18","1,582.93","1,566.35"
2024.9.19,"1,582.45","1,578.13","1,585.06","1,572.52"
2024.9.18,"1,548.43","1,554.25","1,573.22","1,545.79"
2024.9.17,"1,551.35","1,553.35","1,567.67","1,546.75"
2024.9.16,"1,541.84","1,545.66","1,546.34","1,533.46"
2024.9.13,"1,546.78","1,539.77","1,552.00","1,537.47"
2024.9.12,"1,538.95","1,522.12","1,539.78","1,520.56"
2024.9.11,"1,521.48","1,498.25","1,523.43","1,468.56"
2024.9.10,"1,501.63","1,490.14","1,502.83","1,482.07"
2024.9.9,"1,481.00","1,474.03","1,486.31","1,469.98"
2024.9.6,"1,457.25","1,500.31","1,504.85","1,457.25"
2024.9.5,"1,499.33","1,489.84","1,509.75","1,487.71"
2024.9.4,"1,478.49","1,472.63","1,487.34","1,470.56"
2024.9.3,"1,479.30","1,496.08","1,499.31","1,472.61"
2024.8.30,"1,500.16","1,480.83","1,501.11","1,475.42"
2024.8.29,"1,471.84","1,485.15","1,489.39","1,469.22"
2024.8.28,"1,468.89","1,485.25","1,487.46","1,456.89"
2024.8.27,"1,484.41","1,486.48","1,488.03","1,476.04"
2024.8.26,"1,491.43","1,502.92","1,504.87","1,486.90"
2024.8.23,"1,503.57","1,491.40","1,506.00","1,488.93"
2024.8.22,"1,478.44","1,510.59","1,510.73","1,476.24"
2024.8.21,"1,506.63","1,498.82","1,510.99","1,496.38"
2024.8.20,"1,489.12","1,490.42","1,495.55","1,483.39"
2024.8.19,"1,489.39","1,477.04","1,489.39","1,474.79"
2024.8.16,"1,472.66","1,465.62","1,478.97","1,464.91"
2024.8.15,"1,470.63","1,451.97","1,472.82","1,451.97"
2024.8.14,"1,422.60","1,431.68","1,434.43","1,415.72"
2024.8.13,"1,428.42","1,402.24","1,429.70","1,399.72"
2024.8.12,"1,394.63","1,402.39","1,403.08","1,387.67"
2024.8.9,"1,399.68","1,394.38","1,406.22","1,392.26"
2024.8.8,"1,394.02","1,377.62","1,398.08","1,368.98"
2024.8.7,"1,364.91","1,396.51","1,402.95","1,362.36"
2024.8.6,"1,384.87","1,374.82","1,404.67","1,362.09"
2024.8.5,"1,370.56","1,329.41","1,383.03","1,328.23"
2024.8.2,"1,414.01","1,413.33","1,417.98","1,391.18"
2024.8.1,"1,482.39","1,522.26","1,525.29","1,468.99"
2024.7.31,"1,516.58","1,509.03","1,527.68","1,506.66"
2024.7.30,"1,489.94","1,503.84","1,505.17","1,475.12"
2024.7.29,"1,498.16","1,487.99","1,504.97","1,486.74"
2024.7.26,"1,477.22","1,469.35","1,484.27","1,467.03"
2024.7.25,"1,460.10","1,467.70","1,486.88","1,451.84"
2024.7.24,"1,466.33","1,492.42","1,494.17","1,466.00"
2024.7.23,"1,525.74","1,530.15","1,541.26","1,524.58"
2024.7.22,"1,525.50","1,522.83","1,532.76","1,517.20"
2024.7.19,"1,512.32","1,517.07","1,525.35","1,506.62"
2024.7.18,"1,524.55","1,549.41","1,553.94","1,519.98"
2024.7.17,"1,544.32","1,561.78","1,562.19","1,539.50"
2024.7.16,"1,572.55","1,562.52","1,573.72","1,555.56"
2024.7.15,"1,549.21","1,559.79","1,572.23","1,544.42"
2024.7.12,"1,553.98","1,535.67","1,567.48","1,533.95"
2024.7.11,"1,539.15","1,567.67","1,575.50","1,531.75"
2024.7.10,"1,562.18","1,556.70","1,563.28","1,545.24"
2024.7.9,"1,552.03","1,547.25","1,560.57","1,546.67"
2024.7.8,"1,548.04","1,546.91","1,554.07","1,542.88"
2024.7.5,"1,548.12","1,541.58","1,548.97","1,537.05"
2024.7.3,"1,535.11","1,533.67","1,540.04","1,530.30"
2024.7.2,"1,530.24","1,508.78","1,530.36","1,507.44"
2024.7.1,"1,503.07","1,496.80","1,509.73","1,493.15"
2024.6.28,"1,492.14","1,505.73","1,515.86","1,486.18"
2024.6.27,"1,512.77","1,503.30","1,516.16","1,498.48"
2024.6.26,"1,499.31","1,469.00","1,502.16","1,467.50"
2024.6.25,"1,470.16","1,476.37","1,478.63","1,466.52"
2024.6.24,"1,474.31","1,487.84","1,495.80","1,473.88"
2024.6.21,"1,485.29","1,476.38","1,486.70","1,470.85"
2024.6.20,"1,470.36","1,461.98","1,473.76","1,460.96"
