Date,Close,Open,High,Low,,
,SPLRCS,SPLRCS,SPLRCS,SPLRCS,,
2024.12.31,853.65,853.42,856.73,849.5,,
2024.12.30,852.53,858.89,859.08,849.8,,
2024.12.27,862.9,862.92,867.1,859.69,,
2024.12.26,867.98,864.84,868.7,864.21,,
2024.12.24,867.68,859.23,867.87,858.82,,
2024.12.23,860.74,862.92,863.88,852.13,,
2024.12.20,865.68,861.77,871.88,860.14,,
2024.12.19,864.62,870.32,874.2,864.51,,
2024.12.18,871.03,879.46,883.02,870.71,,
2024.12.17,883.73,882.66,887.86,882.06,,
2024.12.16,884.83,888.16,893.61,884.42,,
2024.12.13,888.06,886.29,893.6,882.25,,
2024.12.12,889.8,894.71,895.01,888.76,,
2024.12.11,888.24,896.03,899.52,887.56,,
2024.12.10,893.85,888.12,895.67,886.27,,
2024.12.9,889.44,893.75,895.54,887.79,,
2024.12.6,893.89,897.92,902.44,893.65,,
2024.12.5,897.8,895.16,899.9,893.07,,
2024.12.4,894.29,892.23,894.68,889.52,,
2024.12.3,895.8,900.51,900.51,894.26,,
2024.12.2,899.98,900.36,900.99,894.41,,
2024.11.29,900.88,895.74,901.85,894.98,,
2024.11.27,897.19,899.78,902.59,895.54,,
2024.11.26,896.6,892.18,897.44,890.72,,
2024.11.25,890.83,892.92,895.03,887.42,,
2024.11.22,887.58,882.96,888.26,882.76,,
2024.11.21,878.64,868.91,879.67,867.12,,
2024.11.20,867.9,864.34,868.08,860.31,,
2024.11.19,869.49,868.58,872.16,864.02,,
2024.11.18,866.57,862.59,868.02,861.06,,
2024.11.15,860.88,866.56,867.2,860.15,,
2024.11.14,868.07,868.13,873.04,867.09,,
2024.11.13,869.99,866.34,871.03,865.07,,
2024.11.12,867.59,868.99,871.23,866.15,,
2024.11.11,866.77,869.96,877.41,866.1,,
2024.11.8,871.43,860.56,874.43,860.05,,
2024.11.7,858.99,857.41,863.62,856.43,,
2024.11.6,855.82,871.86,871.86,852.44,,
2024.11.5,869.49,861.79,869.59,861.18,,
2024.11.4,863.53,862.7,865.59,860.89,,
2024.11.1,861.13,863.18,864.38,860.37,,
2024.10.31,861.7,860.99,866.52,860.73,,
2024.10.30,862.88,862.9,866.84,861.55,,
2024.10.29,865.16,869.9,871.38,864.76,,
2024.10.28,873.55,875.17,876.89,872.97,,
2024.10.25,872.55,879.96,880.76,871.65,,
2024.10.24,879.25,880.71,882.31,876.8,,
2024.10.23,881.16,876.6,882.15,875.89,,
2024.10.22,882.24,874.63,883.35,873.86,,
2024.10.21,874.17,881.28,882.15,873.42,,
2024.10.18,881.31,877.02,882.05,874.44,,
2024.10.17,879.76,884.66,885.88,877.39,,
2024.10.16,883.36,881.31,884.4,879.86,,
2024.10.15,885.24,881.94,891.93,881.65,,
2024.10.14,879.57,876.39,880.38,874.9,,
2024.10.11,875.91,873.5,876.77,869.91,,
2024.10.10,871.38,876.87,876.99,869.16,,
2024.10.9,876.07,869.77,876.57,868.47,,
2024.10.8,869.27,864.89,870.02,862.94,,
2024.10.7,863.46,872.2,872.54,862.6,,
2024.10.4,873.04,867.84,873.63,867.5,,
2024.10.3,871.08,875.67,875.94,868.84,,
2024.10.2,878.48,881.78,881.78,876.4,,
2024.10.1,885.4,888.18,889.54,882.26,,
2024.9.30,887.78,890.58,892.65,884.04,,
2024.9.27,887,887.41,891.59,885.42,,
2024.9.26,887.13,885.43,891.55,884.3,,
2024.9.25,887.53,891.14,892.31,885.64,,
2024.9.24,887.83,889.26,892.14,886.78,,
2024.9.23,891.23,885.29,894.75,883.81,,
2024.9.20,886.21,882.25,886.62,879.56,,
2024.9.19,882.51,890.63,890.63,881.11,,
2024.9.18,887.62,891.25,895.52,884.1,,
2024.9.17,891.56,898.63,899.61,890.48,,
2024.9.16,899.94,901.66,903.36,896.03,,
2024.9.13,897.32,891.51,898.26,890.14,,
2024.9.12,891.87,885.94,893.15,883.66,,
2024.9.11,886.91,892.94,892.94,878.73,,
2024.9.10,894.81,894.76,898.92,892.84,,
2024.9.9,894.77,888.52,896.74,886.47,,
2024.9.6,887.5,890.22,893.29,887.01,,
2024.9.5,890.29,894.88,895.46,886.11,,
2024.9.4,893.91,890.21,894.45,887.03,,
2024.9.3,889.32,881.94,892.46,881.87,,
2024.8.30,882.6,877.53,883.38,875.1,,
2024.8.29,876.13,880.43,880.56,874.46,,
2024.8.28,880.28,885.14,885.33,877.03,,
2024.8.27,883.9,884.32,885.72,880.94,,
2024.8.26,881.94,877.71,883.61,876.8,,
2024.8.23,875.63,875.78,875.9,870.05,,
2024.8.22,873.61,876.65,876.65,869.5,,
2024.8.21,874.6,875.77,880.63,872.08,,
2024.8.20,869.19,864.45,869.27,863.07,,
2024.8.19,864.59,862.74,866.63,862.48,,
2024.8.16,861.82,858.32,862.48,857.34,,
2024.8.15,860.14,863.29,865.4,857.45,,
2024.8.14,851.72,846.79,854.06,845.91,,
2024.8.13,847.87,844.47,848.25,839.98,,
2024.8.12,844.01,848.01,848.8,842.05,,
2024.8.9,848.26,845.83,849.7,841.65,,
2024.8.8,846.66,837.22,848.15,836.28,,
2024.8.7,839.21,840.96,850.76,838.88,,
2024.8.6,838.82,836.82,847.88,836.46,,
2024.8.5,834.25,846.86,850.75,830.53,,
2024.8.2,850.74,850.1,855.85,834.44,,
2024.8.1,843.46,835.86,844.58,833.68,,
2024.7.31,834.36,836.02,839.88,831.24,,
2024.7.30,836.01,839.12,839.19,828.19,,
2024.7.29,841.57,840.59,843.25,835.3,,
2024.7.26,840.98,835.59,842.02,834.33,,
2024.7.25,833.54,836.87,845.33,833.51,,
2024.7.24,833.79,831.94,834.66,827.57,,
2024.7.23,833.47,837.81,839.46,832.78,,
2024.7.22,836.12,838.29,838.29,832.2,,
2024.7.19,836.42,841.36,841.64,834.43,,
2024.7.18,839.6,840.15,847.77,839.38,,
2024.7.17,843.66,834.18,844.71,833.73,,
2024.7.16,831.75,824.24,831.88,823.38,,
2024.7.15,823.95,829.43,830.4,823.55,,
