Date,Close,Open,High,Low,,
,SPNY,SPNY,SPNY,SPNY,,
2024.12.31,654.85,646.93,656.71,646.71,,
2024.12.30,646.12,647.04,649.59,641.33,,
2024.12.27,646.67,644.58,653.8,643.78,,
2024.12.26,646.72,647.4,647.95,643.38,,
2024.12.24,647.39,644.06,648.57,639.88,,
2024.12.23,642.84,637.52,644.33,633.63,,
2024.12.20,638.92,632.56,640.58,631.66,,
2024.12.19,633.35,645.79,646.84,632.5,,
2024.12.18,639.66,654.58,658.26,639.38,,
2024.12.17,656.83,655.44,658.12,650.78,,
2024.12.16,661.88,675.12,675.12,661.13,,
2024.12.13,676.68,680.91,680.91,674.58,,
2024.12.12,680.99,684.19,685.27,679.52,,
2024.12.11,685.58,685.48,687.91,682.53,,
2024.12.10,685.43,693.68,694.46,684.49,,
2024.12.9,689.74,696.25,700.24,689.01,,
2024.12.6,691.13,700.97,700.97,689.73,,
2024.12.5,702.13,702.83,707.07,699.35,,
2024.12.4,699.77,716.15,716.15,695.88,,
2024.12.3,717.49,720.6,723.32,714.63,,
2024.12.2,717.87,724.38,725.38,711.69,,
2024.11.29,724.06,722.86,725.88,722.11,,
2024.11.27,721.6,722.36,727.7,720.74,,
2024.11.26,722.29,726.36,726.36,719.53,,
2024.11.25,723.95,739.54,742.07,722.59,,
2024.11.22,738.83,737.52,743.93,736.55,,
2024.11.21,737.99,735.95,743.11,733.23,,
2024.11.20,731.95,726.47,732.36,724.73,,
2024.11.19,724.73,724.8,729.02,722.15,,
2024.11.18,729.64,725.79,731.3,723.03,,
2024.11.15,722.04,723.17,729.84,720.2,,
2024.11.14,724.49,725.25,726.64,720.1,,
2024.11.13,723.47,719.39,726.18,710.77,,
2024.11.12,717.46,722.13,725.08,716.54,,
2024.11.11,720.79,718.17,723.82,714.64,,
2024.11.8,717.87,713.34,719.15,710.63,,
2024.11.7,714.7,715.94,716.51,708.72,,
2024.11.6,717.29,712.3,722.27,706.14,,
2024.11.5,692.79,692.17,694.69,688.67,,
2024.11.4,688.87,680.63,690.01,680.53,,
2024.11.1,676.2,691.33,693.02,675.22,,
2024.10.31,681.25,681.25,686.62,679.47,,
2024.10.30,676.78,677.95,682.59,675.8,,
2024.10.29,676.53,684.88,685.88,674.92,,
2024.10.28,686.41,676.26,686.87,675.97,,
2024.10.25,690.91,693.82,696.14,688.99,,
2024.10.24,690.49,692.58,694.44,686.86,,
2024.10.23,691.83,692.56,695.59,687.63,,
2024.10.22,695.16,696.88,698.14,692.53,,
2024.10.21,693.77,700.84,701.7,692.05,,
2024.10.18,695.26,698.11,698.11,690.27,,
2024.10.17,697.73,695.49,699.83,693.51,,
2024.10.16,694.68,695.34,697.08,693.07,,
2024.10.15,691.7,696.89,699.92,691.14,,
2024.10.14,713.4,709.55,715.22,708.38,,
2024.10.11,714.08,708.97,716.84,708.97,,
2024.10.10,710.65,709.45,714.11,704.76,,
2024.10.9,705.05,697.02,707.26,695.15,,
2024.10.8,701.53,711.55,711.7,698.15,,
2024.10.7,720.5,719.74,725.55,718.44,,
2024.10.4,717.98,716.01,719.86,709.98,,
2024.10.3,710.4,701.19,711.11,696.49,,
2024.10.2,699.34,701.23,703.94,691.51,,
2024.10.1,691.59,670.67,694.71,669.59,,
2024.9.30,676.47,669.92,677.18,666.36,,
2024.9.27,670.92,661.29,672.14,660.53,,
2024.9.26,657.03,657.97,665.09,655.18,,
2024.9.25,670.41,681.38,683.71,668.86,,
2024.9.24,683.38,690.89,692.33,682.71,,
2024.9.23,685.35,677.48,688.67,676.14,,
2024.9.20,676.5,676.19,678.41,670.02,,
2024.9.19,678.74,680.89,686.22,674.88,,
2024.9.18,670.56,668.65,678.28,667.22,,
2024.9.17,668.88,659.9,669.35,658.53,,
2024.9.16,659.59,657.61,663.38,654.6,,
2024.9.13,651.79,650.2,657.05,650.2,,
2024.9.12,649.07,644.07,651.18,641.09,,
2024.9.11,643.01,648.43,649.04,632.86,,
2024.9.10,649.02,662.9,663.5,644.01,,
2024.9.9,661.73,657.46,668.26,657.46,,
2024.9.6,656.67,665.32,669.76,653.84,,
2024.9.5,664.42,674.52,674.52,663.65,,
2024.9.4,669.5,680.12,683.85,668.4,,
2024.9.3,679.11,684.91,684.91,674.52,,
2024.8.30,695.86,688.01,696.52,685.95,,
2024.8.29,694.02,689.07,697.19,683.26,,
2024.8.28,685.41,687.15,689.47,682.32,,
2024.8.27,690.02,696.71,698.43,688.69,,
2024.8.26,696.48,695.8,701.66,690.74,,
2024.8.23,688.81,682.12,690.17,681.51,,
2024.8.22,678.76,676.77,681.52,675.93,,
2024.8.21,676.62,680.22,683.64,675.18,,
2024.8.20,676.68,694.49,694.49,676.08,,
2024.8.19,695.13,693.25,701.68,692.43,,
2024.8.16,692.25,688.86,693.58,688.2,,
2024.8.15,693.22,689.01,695.5,688.4,,
2024.8.14,687.28,684.2,690.48,681.77,,
2024.8.13,682.75,684.45,684.75,679.9,,
2024.8.12,689.76,688.02,693.94,685.79,,
2024.8.9,686.4,683.98,689.32,679.58,,
2024.8.8,684.46,672.84,685.37,672.23,,
2024.8.7,670.56,673.67,682.15,670.15,,
2024.8.6,667.46,665.43,674.24,663.17,,
2024.8.5,664.78,666.46,669.29,657.08,,
2024.8.2,678.47,688.71,691.18,671.28,,
2024.8.1,694.15,710.18,714.31,690.6,,
2024.7.31,712.42,717.91,718.89,712.19,,
2024.7.30,709.46,699.66,711.56,699.66,,
2024.7.29,698.68,705.65,705.65,692.6,,
2024.7.26,704.8,702.1,708.2,699.18,,
2024.7.25,702.29,691.91,705.91,689.11,,
2024.7.24,692.1,692.67,696.91,686.27,,
2024.7.23,690.56,699.47,699.97,689.45,,
2024.7.22,701.44,702.75,705.53,697.92,,
2024.7.19,706.51,716.72,718.63,704.76,,
2024.7.18,715.75,713.97,724.06,710.62,,
2024.7.17,713.37,709.18,717.71,709.18,,
2024.7.16,705.72,699.33,706.89,696.36,,
2024.7.15,703.28,696.7,709.07,694.64,,
2024.7.12,692.49,694.86,695.79,687.71,,
2024.7.11,690.98,682.65,692.3,679.85,,
2024.7.10,683.77,677.42,684.09,676.27,,
2024.7.9,678.86,681.1,686.7,676.31,,
2024.7.8,685.32,685.16,691.36,682.37,,
2024.7.5,689.38,699.18,699.18,686.55,,
2024.7.3,700.04,697.52,703.85,697,,
2024.7.2,696.95,701.1,704.24,692.88,,
2024.7.1,698.36,700.51,705.98,694.75,,
2024.6.28,698.23,700.76,703.58,695.76,,
2024.6.27,695.32,696.62,697.79,691.59,,
2024.6.26,693.6,699.69,699.85,690.02,,
2024.6.25,699.6,697.58,699.99,694.15,,
2024.6.24,698.61,682.15,701.17,682.15,,
2024.6.21,680.02,686.76,688.59,679.88,,
2024.6.20,684.65,672.67,688.33,672.37,,
2024.6.18,672.18,672.33,680.54,670.56,,
2024.6.17,669.07,667.24,672.32,664.73,,
