Date,Close,Open,High,Low,,
,SPSY,SPSY,SPSY,SPSY,,
2024.12.31,804.44,805.75,808.51,802.21,,
2024.12.30,803.87,804.27,807.58,797.28,,
2024.12.27,811.4,813.03,818.78,807.9,,
2024.12.26,818.02,813.39,818.47,812.55,,
2024.12.25,816.3,808.1,816.43,807.19,,
2024.12.24,816.3,808.1,816.43,807.19,,
2024.12.23,806.61,800.75,807.21,797.85,,
2024.12.20,804.29,790.87,810.67,789.56,,
2024.12.19,793.27,796.99,804.62,792.99,,
2024.12.18,790.09,815.87,817.78,789.79,,
2024.12.17,814.75,817.11,817.11,811.9,,
2024.12.16,820.41,822.09,823.3,819.2,,
2024.12.13,820.73,825.66,826.21,820.22,,
2024.12.12,823,827.85,829.12,822.94,,
2024.12.11,826.33,826.59,828.01,822.96,,
2024.12.10,824.2,824.58,829.24,819.81,,
2024.12.9,825.07,837.19,837.56,824.71,,
2024.12.6,836.85,836.8,839.24,834.4,,
2024.12.5,836.59,835.44,841.07,835.21,,
2024.12.4,834.74,837.37,837.92,831.75,,
2024.12.3,838.02,847.34,848.02,837.85,,
2024.12.2,844.31,853.41,854.8,841.97,,
2024.11.29,851.98,854.25,856.41,851.29,,
2024.11.27,851.82,850.13,857.11,850.13,,
2024.11.26,849.61,847.93,851.31,843.3,,
2024.11.25,847.87,846.88,850.89,844.94,,
2024.11.22,842.7,832.98,843.31,832.98,,
2024.11.21,833.49,826.34,836.86,825.06,,
2024.11.20,823.02,827.48,828.55,818.87,,
2024.11.19,825.3,823.74,828.27,821.16,,
2024.11.18,830.62,828.8,832.23,825.74,,
2024.11.15,828.75,824.39,830.4,824.39,,
2024.11.14,824.36,828.41,830.29,823.14,,
2024.11.13,826.52,827.44,832.53,825.38,,
2024.11.12,826,828.22,829.44,823.84,,
2024.11.11,828.65,824.89,832.82,824.89,,
2024.11.8,817.12,815.02,821.68,811.5,,
2024.11.7,810.89,822.39,822.39,809.07,,
2024.11.6,824.22,804.54,825.52,804.54,,
2024.11.5,776.38,769.18,776.53,768.81,,
2024.11.4,768.81,774.58,774.83,765.11,,
2024.11.1,774.28,774.77,781.16,773.97,,
2024.10.31,773.41,782.98,784.46,773.3,,
2024.10.30,782.97,781.59,788.46,780.65,,
2024.10.29,779.7,783.21,784.87,779.66,,
2024.10.28,784.48,779.34,785.45,779.34,,
2024.10.25,775.66,786.56,788.36,773.73,,
2024.10.24,783.86,782.86,784.54,779.43,,
2024.10.23,783.27,783.3,785.17,779.81,,
2024.10.22,784.24,782.39,785.4,778.25,,
2024.10.21,785.15,790.86,791.94,784.1,,
2024.10.18,792.12,792.83,793.49,787.84,,
2024.10.17,791.96,793.04,795.04,791.42,,
2024.10.16,789.41,781.58,789.85,781.58,,
2024.10.15,779.86,784.13,787.98,779.12,,
2024.10.14,777.85,774.91,779.11,773.06,,
2024.10.11,773.35,762.94,774.89,762.72,,
2024.10.10,758.55,762.42,762.42,755.91,,
2024.10.9,761,753.89,762.57,753.03,,
2024.10.8,754.45,753.07,755.98,751.6,,
2024.10.7,750.19,758.87,759.35,747.08,,
2024.10.4,759.61,753.44,759.85,751.19,,
2024.10.3,747.37,749.26,749.39,743.57,,
2024.10.2,750.76,750.01,752.61,746.69,,
2024.10.1,750.04,753,754.01,745.37,,
2024.9.30,754.16,750.73,754.64,746.45,,
2024.9.27,751.79,750.71,756.25,749.94,,
2024.9.26,749.17,747.35,750.84,745.4,,
2024.9.25,745.13,750.41,750.92,743.44,,
2024.9.24,749.62,755.59,755.59,747.54,,
2024.9.23,756.57,756.79,760.11,755.23,,
2024.9.20,755.81,756.27,756.81,752.19,,
2024.9.19,758.03,755.99,759.8,752.07,,
2024.9.18,749.25,751.76,757.36,748.07,,
2024.9.17,751.32,748.55,754.18,748.55,,
2024.9.16,747.5,742.13,747.96,742.13,,
2024.9.13,738.49,738.43,741.17,736.81,,
2024.9.12,735.97,735.12,738.2,730.26,,
2024.9.11,735.06,734.91,735.68,719.92,,
2024.9.10,737.95,747.78,747.78,729.82,,
2024.9.9,745.22,740.64,749.85,740.64,,
2024.9.6,734.94,746.37,749.85,733.48,,
2024.9.5,746.66,757.03,757.95,742.92,,
2024.9.4,754.47,754.64,759.74,750.75,,
2024.9.3,753.81,755.89,761.21,750.31,,
2024.8.30,759.21,753.78,760.03,751.08,,
2024.8.29,752.11,748.97,754.84,743.33,,
2024.8.28,745.79,742.88,749.75,741.35,,
2024.8.27,743.53,740.8,744.17,740.45,,
2024.8.26,739.94,740.21,744.03,738.51,,
2024.8.23,737.63,734.12,739.45,732.27,,
2024.8.22,730.97,727.8,731.27,727.64,,
2024.8.21,727.51,729.58,730.18,723.75,,
2024.8.20,728.51,730.31,730.65,727.12,,
2024.8.19,730.92,727.06,731.01,727.06,,
2024.8.16,726.5,721.9,726.81,721.9,,
2024.8.15,722.01,721.7,725.43,719.58,,
2024.8.14,715.42,707.6,716.19,707.6,,
2024.8.13,706.34,703.47,706.71,699.64,,
2024.8.12,700.4,705.39,707.15,699.13,,
2024.8.9,703.87,700.86,705.89,698.37,,
2024.8.8,701.28,693.65,702.31,693.65,,
2024.8.7,690.08,695.9,703.77,689.53,,
2024.8.6,689.62,680.97,697.6,680.11,,
2024.8.5,679.7,692.23,692.23,675.36,,
2024.8.2,700.04,708.7,711.05,695.03,,
2024.8.1,717.43,729.32,730.79,713.71,,
2024.7.31,727.47,730.78,733.15,726.75,,
2024.7.30,728.86,725.47,731.45,725.11,,
2024.7.29,720.3,723.06,723.57,717.32,,
2024.7.26,721.84,713.75,723.82,713.75,,
2024.7.25,711.27,710.05,721.07,709.21,,
2024.7.24,709.28,715.07,716.91,708.52,,
2024.7.23,717.81,717.8,721.51,716.98,,
2024.7.22,717.25,714.71,717.74,711.1,,
2024.7.19,712.71,720.84,720.84,712.02,,
2024.7.18,719.93,726.96,733.38,718.32,,
2024.7.17,729.29,722.52,729.92,722.52,,
2024.7.16,723.12,715.61,723.43,714.44,,
2024.7.15,714.38,707.13,715.66,707.09,,
2024.7.12,704.4,703.56,707.7,699.99,,
2024.7.11,702.84,697.17,703.52,695.63,,
2024.7.10,696.94,691.02,697.06,690.92,,
2024.7.9,694.03,689.86,698.64,688.97,,
2024.7.8,689.56,692.01,695.91,688.32,,
2024.7.5,690.61,691.92,691.93,687.12,,
2024.7.3,692.58,694.22,694.99,691.34,,
2024.7.2,693.33,684.55,693.42,684.41,,
2024.7.1,685.76,686.48,691.47,683.18,,
2024.6.28,684.26,683.07,688.54,681.65,,
2024.6.27,681.64,681.52,682.97,678.29,,
2024.6.26,683.32,683.96,684.32,679.78,,
