Date,Close,Open,High,Low,,
,SPXHC,SPXHC,SPXHC,SPXHC,,
2024.12.31,"1,604.75","1,603.02","1,611.24","1,596.08",,
2024.12.30,"1,600.96","1,612.96","1,612.96","1,595.47",,
2024.12.27,"1,620.64","1,619.14","1,630.99","1,614.37",,
2024.12.26,"1,628.97","1,619.95","1,630.51","1,619.59",,
2024.12.25,"1,626.36","1,615.13","1,626.36","1,611.28",,
2024.12.24,"1,626.36","1,615.13","1,626.36","1,611.28",,
2024.12.23,"1,619.76","1,600.94","1,621.57","1,598.95",,
2024.12.20,"1,603.10","1,583.23","1,617.98","1,583.23",,
2024.12.19,"1,583.85","1,589.60","1,600.43","1,579.18",,
2024.12.18,"1,595.57","1,617.35","1,626.96","1,595.00",,
2024.12.17,"1,617.84","1,615.22","1,627.84","1,610.79",,
2024.12.16,"1,618.71","1,638.63","1,645.66","1,617.27",,
2024.12.13,"1,639.18","1,635.56","1,644.15","1,628.72",,
2024.12.12,"1,639.13","1,653.87","1,656.75","1,638.27",,
2024.12.11,"1,652.78","1,670.18","1,670.18","1,652.28",,
2024.12.10,"1,674.61","1,683.62","1,686.61","1,669.85",,
2024.12.9,"1,682.36","1,679.49","1,686.81","1,673.58",,
2024.12.6,"1,678.63","1,689.78","1,691.69","1,676.39",,
2024.12.5,"1,687.81","1,701.52","1,701.52","1,684.62",,
2024.12.4,"1,707.05","1,708.73","1,716.74","1,702.98",,
2024.12.3,"1,708.30","1,711.35","1,715.20","1,707.49",,
2024.12.2,"1,711.47","1,713.92","1,714.25","1,703.62",,
2024.11.29,"1,713.71","1,707.43","1,719.40","1,706.97",,
2024.11.27,"1,709.26","1,703.34","1,719.14","1,703.34",,
2024.11.26,"1,701.24","1,696.37","1,702.39","1,683.29",,
2024.11.25,"1,693.65","1,684.73","1,697.46","1,684.73",,
2024.11.22,"1,678.61","1,681.66","1,687.65","1,675.56",,
2024.11.21,"1,677.19","1,664.94","1,678.93","1,655.92",,
2024.11.20,"1,663.36","1,646.28","1,665.27","1,645.25",,
2024.11.19,"1,643.93","1,639.53","1,648.48","1,632.74",,
2024.11.18,"1,651.83","1,649.37","1,653.81","1,644.96",,
2024.11.15,"1,651.81","1,677.58","1,677.58","1,648.19",,
2024.11.14,"1,683.50","1,707.44","1,707.83","1,681.53",,
2024.11.13,"1,709.79","1,715.10","1,718.74","1,708.24",,
2024.11.12,"1,714.97","1,735.84","1,739.21","1,714.23",,
2024.11.11,"1,738.27","1,741.74","1,753.93","1,736.52",,
2024.11.8,"1,748.63","1,740.42","1,758.02","1,737.34",,
2024.11.7,"1,736.45","1,731.21","1,739.48","1,727.13",,
2024.11.6,"1,725.37","1,740.46","1,756.48","1,716.92",,
2024.11.5,"1,722.74","1,706.59","1,723.04","1,700.81",,
2024.11.4,"1,709.91","1,718.87","1,725.10","1,707.13",,
2024.11.1,"1,721.67","1,715.61","1,729.71","1,715.61",,
2024.10.31,"1,711.50","1,716.32","1,723.32","1,711.42",,
2024.10.30,"1,725.50","1,700.26","1,726.43","1,696.32",,
2024.10.29,"1,728.75","1,731.71","1,739.55","1,728.38",,
2024.10.28,"1,733.74","1,737.63","1,741.44","1,731.65",,
2024.10.25,"1,731.52","1,747.08","1,747.69","1,729.44",,
2024.10.24,"1,740.74","1,753.29","1,759.21","1,740.60",,
2024.10.23,"1,752.58","1,755.76","1,759.04","1,743.30",,
2024.10.22,"1,760.70","1,753.73","1,763.96","1,753.07",,
2024.10.21,"1,763.47","1,780.88","1,784.30","1,761.79",,
