Date,Close,Open,High,Low,,
,SPLRCI,SPLRCI,SPLRCI,SPLRCI,,
2024.12.31,"1,115.65","1,119.26","1,121.97","1,112.61",,
2024.12.30,"1,117.17","1,115.92","1,122.24","1,106.63",,
2024.12.27,"1,128.17","1,128.92","1,136.99","1,122.35",,
2024.12.26,"1,137.39","1,133.52","1,140.05","1,131.43",,
2024.12.24,"1,136.69","1,126.90","1,136.69","1,125.09",,
2024.12.23,"1,127.66","1,125.38","1,129.21","1,118.29",,
2024.12.20,"1,128.15","1,112.74","1,136.00","1,111.18",,
2024.12.19,"1,115.60","1,124.74","1,130.14","1,114.82",,
2024.12.18,"1,116.77","1,149.97","1,153.28","1,116.56",,
2024.12.17,"1,149.22","1,153.46","1,156.63","1,146.54",,
2024.12.16,"1,159.67","1,160.40","1,163.92","1,156.34",,
2024.12.13,"1,158.80","1,161.62","1,164.22","1,157.78",,
2024.12.12,"1,161.94","1,170.45","1,171.34","1,161.51",,
2024.12.11,"1,169.87","1,178.58","1,178.79","1,169.20",,
2024.12.10,"1,172.15","1,172.14","1,176.48","1,165.48",,
2024.12.9,"1,174.77","1,185.43","1,186.90","1,174.57",,
2024.12.6,"1,185.91","1,192.88","1,195.10","1,183.93",,
2024.12.5,"1,188.92","1,202.58","1,203.00","1,188.54",,
2024.12.4,"1,203.42","1,197.54","1,203.75","1,195.83",,
2024.12.3,"1,198.13","1,207.32","1,207.46","1,194.34",,
2024.12.2,"1,205.97","1,214.76","1,214.76","1,204.37",,
2024.11.29,"1,214.04","1,212.78","1,217.09","1,212.65",,
2024.11.27,"1,208.86","1,216.10","1,219.18","1,208.11",,
2024.11.26,"1,213.22","1,210.80","1,214.94","1,205.84",,
2024.11.25,"1,211.38","1,210.01","1,214.59","1,206.35",,
2024.11.22,"1,203.38","1,191.37","1,204.21","1,190.04",,
2024.11.21,"1,187.25","1,178.05","1,191.49","1,174.64",,
2024.11.20,"1,172.86","1,174.13","1,175.49","1,164.64",,
2024.11.19,"1,171.74","1,164.09","1,174.31","1,163.85",,
2024.11.18,"1,172.47","1,172.36","1,177.27","1,169.89",,
2024.11.15,"1,174.44","1,176.71","1,183.40","1,171.77",,
2024.11.14,"1,181.55","1,200.63","1,201.82","1,180.74",,
2024.11.13,"1,201.82","1,201.62","1,208.46","1,200.38",,
2024.11.12,"1,199.25","1,212.50","1,213.48","1,194.63",,
2024.11.11,"1,209.73","1,208.45","1,214.10","1,207.35",,
2024.11.8,"1,200.17","1,190.67","1,204.32","1,189.57",,
2024.11.7,"1,188.20","1,197.93","1,198.44","1,186.75",,
2024.11.6,"1,195.40","1,182.72","1,197.06","1,176.02",,
2024.11.5,"1,150.16","1,134.39","1,150.26","1,133.59",,
2024.11.4,"1,131.31","1,132.76","1,139.52","1,128.15",,
2024.11.1,"1,132.95","1,135.91","1,142.84","1,132.44",,
2024.10.31,"1,131.09","1,134.57","1,137.89","1,127.68",,
2024.10.30,"1,144.02","1,141.92","1,150.38","1,140.42",,
2024.10.29,"1,146.21","1,143.13","1,150.62","1,138.24",,
2024.10.28,"1,147.78","1,150.40","1,152.00","1,147.69",,
2024.10.25,"1,144.70","1,153.27","1,154.84","1,142.53",,
2024.10.24,"1,147.61","1,153.59","1,153.59","1,144.61",,
2024.10.23,"1,155.80","1,157.32","1,162.71","1,149.87",,
2024.10.22,"1,159.22","1,166.41","1,167.17","1,153.35",,
2024.10.21,"1,173.13","1,177.10","1,178.78","1,168.57",,
2024.10.18,"1,177.27","1,177.42","1,177.88","1,171.54",,
2024.10.17,"1,174.20","1,178.81","1,178.81","1,172.06",,
2024.10.16,"1,177.15","1,169.47","1,179.62","1,169.47",,
2024.10.15,"1,168.18","1,180.44","1,180.88","1,167.31",,
2024.10.14,"1,176.93","1,169.43","1,177.77","1,166.00",,
2024.10.11,"1,170.25","1,155.08","1,170.64","1,155.08",,
2024.10.10,"1,149.69","1,150.34","1,152.91","1,146.60",,
2024.10.9,"1,155.94","1,145.85","1,156.49","1,144.24",,
2024.10.8,"1,145.39","1,147.48","1,148.88","1,141.46",,
2024.10.7,"1,142.92","1,141.11","1,147.82","1,137.67",,
2024.10.4,"1,146.22","1,147.76","1,148.03","1,135.55",,
2024.10.3,"1,139.08","1,142.47","1,144.34","1,135.06",,
2024.10.2,"1,144.70","1,143.81","1,149.04","1,140.38",,
2024.10.1,"1,146.94","1,147.08","1,152.34","1,137.84",,
2024.9.30,"1,147.06","1,139.46","1,147.51","1,134.74",,
2024.9.27,"1,141.58","1,142.50","1,148.56","1,140.11",,
2024.9.26,"1,139.87","1,142.41","1,146.58","1,138.45",,
2024.9.25,"1,134.25","1,142.70","1,143.39","1,133.60",,
2024.9.24,"1,139.47","1,135.18","1,139.84","1,133.17",,
2024.9.23,"1,131.53","1,127.19","1,133.30","1,124.34",,
2024.9.20,"1,124.10","1,123.77","1,126.25","1,118.00",,
2024.9.19,"1,131.91","1,129.21","1,133.90","1,122.48",,
2024.9.18,"1,112.43","1,115.92","1,126.97","1,111.57",,
2024.9.17,"1,113.39","1,109.73","1,117.57","1,107.68",,
2024.9.16,"1,107.64","1,107.90","1,113.18","1,101.10",,
2024.9.13,"1,101.79","1,095.58","1,105.91","1,094.53",,
2024.9.12,"1,091.07","1,082.19","1,091.25","1,077.40",,
2024.9.11,"1,083.23","1,077.99","1,084.16","1,056.62",,
2024.9.10,"1,080.93","1,083.20","1,083.20","1,072.22",,
2024.9.9,"1,079.04","1,070.66","1,083.19","1,070.66",,
2024.9.6,"1,062.45","1,075.48","1,082.65","1,060.91",,
2024.9.5,"1,073.98","1,084.68","1,085.51","1,068.04",,
2024.9.4,"1,086.84","1,085.62","1,092.66","1,082.62",,
2024.9.3,"1,085.61","1,105.41","1,106.04","1,081.47",,
2024.8.30,"1,110.78","1,101.34","1,111.38","1,094.82",,
2024.8.29,"1,098.58","1,096.72","1,108.22","1,091.10",,
2024.8.28,"1,090.96","1,092.32","1,097.56","1,085.87",,
2024.8.27,"1,091.44","1,089.81","1,092.34","1,086.08",,
2024.8.26,"1,091.28","1,095.06","1,098.19","1,088.92",,
2024.8.23,"1,092.68","1,085.66","1,094.70","1,083.51",,
2024.8.22,"1,081.44","1,084.28","1,087.19","1,078.47",,
2024.8.21,"1,083.37","1,080.52","1,084.74","1,078.11",,
2024.8.20,"1,076.76","1,079.18","1,080.40","1,073.42",,
2024.8.19,"1,079.84","1,074.59","1,079.84","1,073.18",,
2024.8.16,"1,073.54","1,074.71","1,075.94","1,068.80",,
2024.8.15,"1,075.62","1,071.13","1,078.32","1,068.78",,
2024.8.14,"1,061.65","1,057.22","1,062.97","1,056.14",,
2024.8.13,"1,057.24","1,050.46","1,057.65","1,043.64",,
2024.8.12,"1,046.04","1,051.77","1,052.51","1,042.81",,
2024.8.9,"1,051.25","1,050.13","1,053.19","1,040.74",,
2024.8.8,"1,051.05","1,033.96","1,051.74","1,033.71",,
2024.8.7,"1,027.46","1,041.59","1,050.85","1,026.99",,
2024.8.6,"1,032.91","1,026.09","1,047.00","1,022.75",,
2024.8.5,"1,020.89","1,020.72","1,030.57","1,007.89",,
2024.8.2,"1,038.80","1,050.61","1,050.61","1,028.79",,
2024.8.1,"1,062.17","1,080.17","1,087.53","1,055.60",,
2024.7.31,"1,081.94","1,080.44","1,092.15","1,077.30",,
2024.7.30,"1,069.85","1,071.80","1,077.28","1,065.81",,
2024.7.29,"1,066.92","1,071.90","1,071.90","1,063.79",,
2024.7.26,"1,068.60","1,060.24","1,076.03","1,060.24",,
2024.7.25,"1,050.52","1,042.58","1,067.02","1,041.47",,
2024.7.24,"1,042.61","1,061.51","1,062.12","1,041.60",,
2024.7.23,"1,065.69","1,062.85","1,071.18","1,061.95",,
2024.7.22,"1,067.90","1,062.22","1,068.05","1,053.69",,
2024.7.19,"1,056.59","1,067.61","1,067.61","1,054.73",,
2024.7.18,"1,062.96","1,070.78","1,081.68","1,061.44",,
2024.7.17,"1,070.81","1,080.03","1,082.19","1,070.80",,
2024.7.16,"1,084.87","1,062.10","1,085.81","1,062.10",,
2024.7.15,"1,058.03","1,054.84","1,063.27","1,051.16",,
2024.7.12,"1,050.67","1,049.17","1,057.08","1,048.53",,
2024.7.11,"1,045.13","1,034.01","1,048.58","1,033.62",,
2024.7.10,"1,032.08","1,023.98","1,032.31","1,022.19",,
2024.7.9,"1,022.88","1,027.15","1,029.24","1,022.77",,
2024.7.8,"1,027.54","1,028.59","1,033.76","1,025.13",,
2024.7.5,"1,026.22","1,028.82","1,028.82","1,018.03",,
2024.7.3,"1,030.35","1,027.14","1,033.34","1,025.70",,
2024.7.2,"1,026.22","1,019.04","1,026.38","1,018.85",,
2024.7.1,"1,020.62","1,036.62","1,037.99","1,018.57",,
2024.6.28,"1,031.96","1,032.46","1,040.68","1,026.93",,
2024.6.27,"1,031.13","1,031.17","1,033.18","1,027.70",,
2024.6.26,"1,030.66","1,030.99","1,031.82","1,026.39",,
2024.6.25,"1,033.15","1,039.78","1,039.99","1,028.38",,
2024.6.24,"1,041.92","1,041.05","1,051.31","1,038.42",,
2024.6.21,"1,038.17","1,040.30","1,040.30","1,029.23",,
2024.6.20,"1,039.62","1,037.95","1,042.55","1,035.79",,
2024.6.18,"1,039.05","1,033.70","1,039.32","1,031.54",,
2024.6.17,"1,033.35","1,018.68","1,035.27","1,017.94",,
2024.6.14,"1,022.35","1,025.05","1,025.41","1,010.27",,
2024.6.13,"1,033.04","1,036.95","1,037.03","1,024.69",,
