Date,Close,Open,High,Low,,
,SPLRCT,SPLRCT,SPLRCT,SPLRCT,,
2024.12.31,"4,609.50","4,666.50","4,671.30","4,599.10",,
2024.12.30,"4,658.00","4,641.90","4,697.60","4,622.50",,
2024.12.27,"4,709.40","4,750.80","4,755.30","4,663.50",,
2024.12.26,"4,780.80","4,766.10","4,797.30","4,747.60",,
2024.12.24,"4,777.10","4,743.70","4,777.10","4,738.30",,
2024.12.23,"4,728.40","4,685.60","4,730.30","4,664.50",,
2024.12.20,"4,669.50","4,561.60","4,705.60","4,547.20",,
2024.12.19,"4,599.00","4,632.00","4,661.90","4,593.40",,
2024.12.18,"4,590.30","4,748.00","4,766.80","4,581.30",,
2024.12.17,"4,731.90","4,703.20","4,741.50","4,690.50",,
2024.12.16,"4,751.10","4,709.80","4,754.10","4,696.80",,
2024.12.13,"4,703.80","4,731.20","4,749.30","4,664.40",,
2024.12.12,"4,678.50","4,669.70","4,700.80","4,661.30",,
2024.12.11,"4,700.40","4,673.80","4,715.70","4,652.30",,
2024.12.10,"4,631.10","4,681.90","4,703.50","4,617.30",,
2024.12.9,"4,690.00","4,679.60","4,702.80","4,671.10",,
2024.12.6,"4,711.30","4,707.70","4,736.60","4,702.90",,
2024.12.5,"4,704.70","4,712.30","4,725.60","4,694.00",,
2024.12.4,"4,713.30","4,678.40","4,714.80","4,669.40",,
2024.12.3,"4,631.40","4,590.20","4,632.90","4,581.20",,
2024.12.2,"4,605.50","4,560.50","4,622.00","4,560.50",,
2024.11.29,"4,558.70","4,519.60","4,568.70","4,514.70",,
2024.11.27,"4,513.50","4,536.80","4,536.80","4,473.10",,
2024.11.26,"4,567.70","4,558.50","4,576.30","4,545.90",,
2024.11.25,"4,531.40","4,571.30","4,578.40","4,508.50",,
2024.11.22,"4,547.30","4,547.90","4,566.50","4,523.10",,
2024.11.21,"4,557.30","4,577.60","4,605.40","4,478.40",,
2024.11.20,"4,531.90","4,542.30","4,543.20","4,469.50",,
2024.11.19,"4,542.30","4,470.70","4,543.70","4,470.70",,
2024.11.18,"4,487.40","4,463.50","4,507.20","4,449.80",,
2024.11.15,"4,478.00","4,537.70","4,542.10","4,456.50",,
2024.11.14,"4,592.30","4,603.10","4,614.70","4,579.90",,
2024.11.13,"4,590.10","4,599.20","4,625.60","4,572.20",,
2024.11.12,"4,604.40","4,588.90","4,610.60","4,568.90",,
2024.11.11,"4,583.70","4,622.90","4,625.50","4,556.40",,
2024.11.8,"4,624.90","4,635.60","4,651.90","4,613.90",,
2024.11.7,"4,640.80","4,584.90","4,643.80","4,584.90",,
2024.11.6,"4,557.20","4,504.50","4,569.00","4,501.80",,
2024.11.5,"4,445.00","4,398.30","4,452.20","4,398.30",,
2024.11.4,"4,381.10","4,391.10","4,415.60","4,363.70",,
2024.11.1,"4,386.20","4,354.60","4,420.30","4,354.60",,
2024.10.31,"4,359.50","4,452.10","4,452.10","4,356.30",,
2024.10.30,"4,520.90","4,554.80","4,561.00","4,518.80",,
2024.10.29,"4,582.20","4,539.10","4,597.40","4,518.00",,
2024.10.28,"4,531.60","4,565.40","4,565.40","4,530.10",,
2024.10.25,"4,534.90","4,528.00","4,584.20","4,526.90",,
2024.10.24,"4,508.40","4,514.60","4,516.50","4,477.30",,
2024.10.23,"4,498.80","4,558.70","4,560.90","4,457.90",,
2024.10.22,"4,575.80","4,542.20","4,590.20","4,528.10",,
2024.10.21,"4,568.90","4,515.10","4,569.30","4,515.10",,
2024.10.18,"4,526.70","4,535.70","4,538.80","4,515.70",,
2024.10.17,"4,505.10","4,553.50","4,553.50","4,504.50",,
2024.10.16,"4,486.30","4,473.60","4,492.50","4,428.20",,
2024.10.15,"4,470.20","4,565.20","4,574.60","4,449.20",,
2024.10.14,"4,551.60","4,521.50","4,567.50","4,521.50",,
2024.10.11,"4,490.40","4,478.60","4,502.90","4,468.50",,
2024.10.10,"4,491.90","4,454.60","4,502.10","4,448.10",,
2024.10.9,"4,488.10","4,448.70","4,492.60","4,429.50",,
2024.10.8,"4,443.10","4,386.70","4,449.00","4,375.70",,
2024.10.7,"4,350.90","4,364.20","4,400.00","4,344.70",,
2024.10.4,"4,380.80","4,390.10","4,391.10","4,331.30",,
2024.10.3,"4,337.80","4,312.30","4,369.00","4,304.30",,
2024.10.2,"4,311.80","4,281.30","4,329.20","4,255.10",,
2024.10.1,"4,286.70","4,382.20","4,384.00","4,259.70",,
2024.9.30,"4,403.70","4,358.70","4,404.80","4,348.40",,
2024.9.27,"4,378.50","4,426.90","4,426.90","4,361.00",,
2024.9.26,"4,420.80","4,455.90","4,456.30","4,380.10",,
2024.9.25,"4,382.00","4,353.10","4,398.00","4,352.20",,
2024.9.24,"4,360.40","4,342.00","4,370.50","4,293.60",,
2024.9.23,"4,326.10","4,329.60","4,339.00","4,312.50",,
2024.9.20,"4,329.40","4,340.30","4,361.00","4,305.90",,
2024.9.19,"4,351.30","4,333.30","4,377.40","4,323.00",,
2024.9.18,"4,221.20","4,253.30","4,295.00","4,218.60",,
2024.9.17,"4,242.80","4,284.10","4,287.50","4,218.70",,
2024.9.16,"4,246.70","4,237.20","4,263.10","4,206.50",,
2024.9.13,"4,287.60","4,272.00","4,298.80","4,256.30",,
2024.9.12,"4,269.80","4,231.80","4,287.10","4,201.00",,
2024.9.11,"4,234.90","4,119.10","4,241.80","4,056.80",,
2024.9.10,"4,101.70","4,068.80","4,104.70","4,034.70",,
2024.9.9,"4,051.70","4,035.80","4,053.20","3,992.50",,
2024.9.6,"3,994.90","4,094.90","4,100.40","3,978.10",,
2024.9.5,"4,093.20","4,071.80","4,147.10","4,070.80",,
2024.9.4,"4,091.30","4,062.40","4,130.00","4,047.80",,
2024.9.3,"4,108.10","4,257.60","4,258.10","4,083.60",,
2024.8.30,"4,298.50","4,294.10","4,314.50","4,247.60",,
2024.8.29,"4,253.30","4,287.50","4,350.00","4,246.30",,
2024.8.28,"4,285.20","4,336.70","4,347.50","4,252.80",,
2024.8.27,"4,341.50","4,287.50","4,350.30","4,266.50",,
2024.8.26,"4,314.20","4,357.60","4,373.30","4,283.80",,
2024.8.23,"4,363.00","4,333.30","4,381.70","4,306.70",,
2024.8.22,"4,291.70","4,410.40","4,420.30","4,282.70",,
2024.8.21,"4,385.30","4,364.00","4,402.90","4,351.50",,
2024.8.20,"4,365.10","4,365.70","4,394.20","4,340.50",,
2024.8.19,"4,379.10","4,311.50","4,379.10","4,283.20",,
2024.8.16,"4,316.80","4,284.60","4,325.00","4,274.20",,
2024.8.15,"4,305.70","4,244.20","4,308.00","4,235.00",,
2024.8.14,"4,199.10","4,196.50","4,218.60","4,144.70",,
2024.8.13,"4,173.70","4,102.00","4,175.00","4,101.60",,
2024.8.12,"4,052.30","4,028.80","4,085.70","4,017.20",,
2024.8.9,"4,015.20","3,987.80","4,036.30","3,966.40",,
2024.8.8,"3,989.60","3,925.20","4,001.90","3,867.40",,
2024.8.7,"3,861.90","3,986.50","4,022.50","3,856.40",,
2024.8.6,"3,915.20","3,902.30","3,987.30","3,852.00",,
2024.8.5,"3,872.20","3,717.10","3,944.80","3,709.30",,
2024.8.2,"4,024.50","4,020.40","4,064.40","3,964.40",,
2024.8.1,"4,106.30","4,251.40","4,292.70","4,065.00",,
2024.7.31,"4,249.10","4,209.10","4,266.40","4,179.50",,
2024.7.30,"4,087.50","4,192.90","4,199.40","4,052.10",,
2024.7.29,"4,179.40","4,217.20","4,242.60","4,163.50",,
2024.7.26,"4,193.40","4,196.70","4,227.10","4,160.20",,
2024.7.25,"4,148.10","4,194.60","4,246.70","4,086.90",,
2024.7.24,"4,196.10","4,321.70","4,334.30","4,187.00",,
2024.7.23,"4,377.30","4,373.20","4,414.60","4,366.30",,
2024.7.22,"4,382.80","4,356.80","4,393.70","4,331.10",,
2024.7.19,"4,298.40","4,337.20","4,365.90","4,289.40",,
2024.7.18,"4,353.80","4,411.50","4,411.50","4,296.30",,
2024.7.17,"4,363.60","4,420.60","4,432.10","4,355.60",,
2024.7.16,"4,532.20","4,556.40","4,563.70","4,499.40",,
2024.7.15,"4,549.60","4,571.40","4,593.70","4,523.00",,
2024.7.12,"4,531.20","4,503.20","4,578.20","4,493.80",,
2024.7.11,"4,489.80","4,614.40","4,614.40","4,476.50",,
2024.7.10,"4,616.30","4,572.90","4,617.70","4,555.30",,
2024.7.9,"4,542.50","4,560.70","4,578.70","4,517.90",,
2024.7.8,"4,540.80","4,521.20","4,543.90","4,509.50",,
2024.7.5,"4,508.10","4,485.20","4,523.10","4,476.80",,
2024.7.3,"4,486.30","4,413.40","4,486.30","4,410.90",,
2024.7.2,"4,421.00","4,362.50","4,421.70","4,360.90",,
2024.7.1,"4,397.50","4,351.60","4,401.80","4,298.80",,
2024.6.28,"4,341.10","4,376.90","4,429.20","4,338.80",,
2024.6.27,"4,359.80","4,355.00","4,385.90","4,343.40",,
2024.6.26,"4,362.60","4,349.70","4,375.00","4,329.60",,
2024.6.25,"4,346.50","4,300.30","4,352.00","4,286.60",,
2024.6.24,"4,269.90","4,327.10","4,348.10","4,269.90",,
2024.6.21,"4,360.20","4,371.50","4,411.60","4,341.50",,
2024.6.20,"4,397.10","4,507.40","4,507.40","4,378.90",,
2024.6.18,"4,468.40","4,451.60","4,478.00","4,438.20",,
2024.6.17,"4,441.30","4,409.10","4,465.10","4,383.70",,
2024.6.14,"4,389.30","4,364.10","4,395.10","4,350.00",,
2024.6.13,"4,367.00","4,371.50","4,380.90","4,331.90",,
2024.6.12,"4,308.30","4,249.00","4,352.00","4,243.50",,
2024.6.11,"4,204.80","4,130.50","4,204.80","4,127.10",,
2024.6.10,"4,136.30","4,113.90","4,151.40","4,097.60",,
2024.6.7,"4,124.40","4,107.40","4,142.10","4,092.90",,
2024.6.6,"4,116.20","4,146.40","4,157.70","4,097.90",,
2024.6.5,"4,135.60","4,065.10","4,135.60","4,058.90",,
2024.6.4,"4,027.80","4,013.40","4,032.40","3,988.10",,
2024.6.3,"4,011.20","4,020.50","4,022.50","3,959.80",,
2024.5.31,"3,972.20","3,990.90","3,994.40","3,887.70",,
2024.5.30,"3,972.30","4,040.30","4,045.50","3,960.60",,
2024.5.29,"4,072.10","4,050.10","4,089.60","4,045.80",,
2024.5.28,"4,086.70","4,071.60","4,097.60","4,051.20",,
2024.5.24,"4,031.10","3,997.00","4,034.20","3,979.90",,
2024.5.23,"3,986.10","4,040.00","4,043.60","3,967.30",,
2024.5.22,"3,963.80","3,973.60","3,979.60","3,935.70",,
2024.5.21,"3,961.00","3,932.20","3,966.00","3,924.90",,
2024.5.20,"3,948.80","3,905.50","3,957.60","3,904.00",,
2024.5.17,"3,897.20","3,922.60","3,926.60","3,876.60",,
2024.5.16,"3,915.90","3,934.60","3,947.20","3,914.50",,
2024.5.15,"3,929.20","3,866.10","3,931.30","3,861.20",,
2024.5.14,"3,841.10","3,800.50","3,846.10","3,795.30",,
2024.5.13,"3,805.50","3,814.80","3,819.40","3,785.60",,
2024.5.10,"3,787.40","3,791.40","3,812.70","3,772.80",,
2024.5.9,"3,769.40","3,774.60","3,777.30","3,750.90",,
2024.5.8,"3,779.00","3,753.00","3,785.90","3,752.10",,
2024.5.7,"3,770.20","3,792.60","3,799.10","3,767.90",,
2024.5.6,"3,790.20","3,748.60","3,790.20","3,744.40",,
2024.5.3,"3,734.80","3,723.00","3,749.80","3,714.40",,
2024.5.2,"3,625.70","3,616.90","3,632.20","3,569.60",,
2024.5.1,"3,567.10","3,590.40","3,647.70","3,557.80",,
2024.4.30,"3,612.60","3,682.00","3,700.40","3,612.20",,
2024.4.29,"3,692.50","3,696.30","3,700.00","3,668.00",,
2024.4.26,"3,679.40","3,650.20","3,702.70","3,635.90",,
2024.4.25,"3,612.40","3,555.80","3,622.30","3,542.90",,
2024.4.24,"3,606.90","3,640.70","3,648.20","3,592.70",,
2024.4.23,"3,605.80","3,567.20","3,611.20","3,559.90",,
2024.4.22,"3,545.10","3,533.10","3,566.00","3,496.80",,
2024.4.19,"3,500.40","3,589.90","3,605.50","3,489.70",,
2024.4.18,"3,611.70","3,648.80","3,660.50","3,607.00",,
2024.4.17,"3,644.30","3,723.90","3,733.10","3,643.80",,
2024.4.16,"3,707.70","3,703.30","3,731.40","3,694.00",,
2024.4.15,"3,699.30","3,799.20","3,809.20","3,695.70",,
2024.4.12,"3,774.40","3,794.20","3,811.40","3,761.60",,
2024.4.11,"3,837.40","3,767.30","3,842.20","3,750.30",,
2024.4.10,"3,748.80","3,733.10","3,759.50","3,728.80",,
2024.4.9,"3,776.80","3,789.90","3,794.00","3,724.40",,
2024.4.8,"3,770.90","3,788.40","3,793.80","3,760.60",,
2024.4.5,"3,782.90","3,750.10","3,800.20","3,738.90",,
2024.4.4,"3,731.30","3,837.20","3,849.00","3,731.10",,
2024.4.3,"3,796.70","3,772.50","3,822.30","3,771.40",,
2024.4.2,"3,792.70","3,781.10","3,798.20","3,756.60",,
2024.4.1,"3,829.70","3,826.10","3,855.20","3,810.90",,
2024.3.28,"3,821.10","3,815.20","3,831.10","3,805.60",,
2024.3.27,"3,825.30","3,844.50","3,846.10","3,797.80",,
