Date,Close,Open,High,Low,,
,SPLRCM,SPLRCM,SPLRCM,SPLRCM,,
2024.12.31,529.77,528.84,531.61,527.08,,
2024.12.30,527.9,531.56,531.77,525.51,,
2024.12.27,535.06,535.24,539.95,533.09,,
2024.12.26,538.15,536.15,539.98,535.78,,
2024.12.24,539.13,535.63,539.21,533.84,,
2024.12.23,535.88,535.36,536.36,530.88,,
2024.12.20,536.53,528.81,539.24,528.79,,
2024.12.19,529.93,536.27,539.49,529.81,,
2024.12.18,535.69,549.99,552.59,535.53,,
2024.12.17,551.64,552,555.35,551.44,,
2024.12.16,554.31,558.18,560.12,554.18,,
2024.12.13,559.79,561.41,561.99,557.82,,
2024.12.12,564.26,566.14,567.97,564.03,,
2024.12.11,568.16,570.76,571.04,567.93,,
2024.12.10,570.29,574.51,574.51,566.64,,
2024.12.9,575.67,579.71,583.55,575.42,,
2024.12.6,576.55,579.73,580.59,576.12,,
2024.12.5,578.04,584.34,584.34,575.51,,
2024.12.4,586.24,589.52,589.66,584.53,,
2024.12.3,591.49,595.55,596.21,590.33,,
2024.12.2,593.46,594.27,594.55,589.49,,
2024.11.29,594.62,591.51,595.07,590.55,,
2024.11.27,591.72,593.1,597.01,591.06,,
2024.11.26,592.25,594.44,594.44,589.99,,
2024.11.25,596.26,591.3,597.02,591.29,,
2024.11.22,590.68,587.47,591.19,586.77,,
2024.11.21,587.47,580.71,587.5,578.94,,
2024.11.20,580.5,576.55,581.12,574.25,,
2024.11.19,576.35,573.85,577.16,570.92,,
2024.11.18,577.99,574.29,578.05,573.85,,
2024.11.15,573.77,577.26,578.48,572.67,,
2024.11.14,578.32,581.42,582.28,577.66,,
2024.11.13,582.38,581.11,583.58,579.72,,
2024.11.12,581.22,588.36,588.78,579.61,,
2024.11.11,590.49,592.69,594.98,589.94,,
2024.11.8,593.55,595.49,597.35,592.72,,
2024.11.7,599.01,597.89,601.29,597.44,,
2024.11.6,596,594.65,598.77,591.32,,
2024.11.5,588.95,585.88,591.35,585.46,,
2024.11.4,587.79,589.41,591.66,585.19,,
2024.11.1,585.02,586.22,589.01,584.79,,
2024.10.31,586.14,590.95,592.26,586.14,,
2024.10.30,595.19,593.2,598.97,593.2,,
2024.10.29,592.98,594.44,596.64,592.63,,
2024.10.28,596.97,594.77,597.68,594.2,,
2024.10.25,592.25,596.3,598.16,591.94,,
2024.10.24,596.05,603.57,603.96,593.92,,
2024.10.23,604.62,603.74,608.09,602.2,,
2024.10.22,606.75,611.65,613.09,603.9,,
2024.10.21,612.02,616.36,616.87,610.4,,
2024.10.18,616.97,615.57,618.33,613.81,,
2024.10.17,614.1,615,615.33,612.37,,
2024.10.16,613.37,609.21,614.34,609.21,,
2024.10.15,608.32,607.91,613.01,607.8,,
2024.10.14,608.53,602.43,609.08,601.69,,
2024.10.11,605.33,602.35,606.86,602.34,,
2024.10.10,601.11,598.92,602.22,597.87,,
2024.10.9,599.85,595.63,601.33,594.52,,
2024.10.8,596.05,594.89,596.72,592.16,,
2024.10.7,598.25,596.31,599.55,595.06,,
2024.10.4,599.28,600.37,601.66,595.59,,
2024.10.3,596.81,599.39,599.95,595.66,,
2024.10.2,603.76,604.15,608.17,602.49,,
2024.10.1,605.75,607.68,608.16,603.27,,
2024.9.30,607.7,609.68,610.43,602.99,,
2024.9.27,611.36,612.85,616.48,610.08,,
2024.9.26,612.76,607.14,613.64,607.1,,
2024.9.25,600.93,606.21,606.21,599.33,,
2024.9.24,604.57,601.06,605.41,601.06,,
2024.9.23,596.5,593.33,597.23,592.54,,
2024.9.20,591.37,594.18,594.18,588.78,,
2024.9.19,595.17,595.65,597.46,591.83,,
2024.9.18,586.45,589.65,593.14,585.45,,
2024.9.17,588.7,587.9,593.05,587.39,,
2024.9.16,587.76,585.86,588.59,583.25,,
2024.9.13,582.52,578.53,585.62,578.53,,
2024.9.12,577.37,573.71,577.5,570.87,,
2024.9.11,572.19,570.99,572.63,558.75,,
2024.9.10,570.66,570.71,570.73,566.26,,
2024.9.9,570.26,567.93,573.27,567.76,,
2024.9.6,564.66,570.66,574.54,563.85,,
2024.9.5,572.39,577.89,578.46,570.99,,
2024.9.4,577.02,580.23,583.04,576.28,,
2024.9.3,579.78,586.6,587.56,577.99,,
2024.8.30,593.39,588.56,594.13,585.7,,
2024.8.29,587.38,586.35,590.9,582.78,,
2024.8.28,584.12,585.22,587,581.92,,
2024.8.27,586.37,586.76,586.9,582.77,,
2024.8.26,586.44,585.86,590.67,585.56,,
2024.8.23,584.17,579.22,585.54,578.41,,
2024.8.22,576.39,577.5,578.63,574.58,,
2024.8.21,577.79,573.17,578.11,573.01,,
2024.8.20,571.21,573.41,575.02,570.55,,
2024.8.19,573.41,571.35,573.65,570.63,,
2024.8.16,570.53,568.8,570.71,566.32,,
2024.8.15,569.86,566.24,570.99,565.05,,
2024.8.14,561.41,562.28,562.73,558.39,,
2024.8.13,561.4,557.66,562.31,556.47,,
2024.8.12,555.67,558.59,559.52,554.43,,
2024.8.9,558.08,558.61,559.87,553.12,,
2024.8.8,558.63,551.98,559.68,551.79,,
2024.8.7,549.95,561.52,564.47,549.72,,
2024.8.6,557.73,554.14,564.69,553.13,,
2024.8.5,554.63,557.58,559.29,550.24,,
2024.8.2,567.59,573.23,573.54,560.01,,
2024.8.1,578.5,584.17,588.36,574.76,,
2024.7.31,580.51,579.82,585.97,577.76,,
2024.7.30,574.5,573.61,578.66,573.18,,
2024.7.29,576.56,576.33,578.01,573.44,,
2024.7.26,575.56,569.25,577.56,568.26,,
2024.7.25,566.07,563.76,572.95,561.83,,
2024.7.24,564.63,571.8,573.68,564.19,,
2024.7.23,571.84,571.75,572.94,568.05,,
2024.7.22,569.67,569.29,570.31,564.9,,
2024.7.19,567.76,571.81,571.89,566.23,,
2024.7.18,572.76,575.72,581.49,572.32,,
2024.7.17,578.65,579.11,582.02,578.39,,
2024.7.16,579.81,569.18,580.31,567.96,,
2024.7.15,568.68,569.77,572.58,567.54,,
2024.7.12,570.39,568.12,573.03,566.92,,
2024.7.11,565.14,559.76,565.59,559.76,,
2024.7.10,557.22,552.44,557.54,552.03,,
2024.7.9,549.87,553.69,554.21,549.8,,
2024.7.8,555.51,555.47,557.2,553.44,,
2024.7.5,553.95,553.21,554.53,549.68,,
2024.7.3,553.24,550.26,554.25,550.26,,
2024.7.2,548.77,547.06,550.39,544.34,,
2024.7.1,547.9,557.26,558.69,546.07,,
2024.6.28,556.5,557.02,560.57,554.9,,
2024.6.27,556.59,558.04,558.61,555.52,,
2024.6.26,558.35,556.41,558.86,554.33,,
2024.6.25,558.64,564.67,564.67,556.98,,
2024.6.24,565.91,564.32,568.27,563.44,,
2024.6.21,562.77,562.52,563.37,558.32,,
2024.6.20,562.34,561.7,565.1,561.08,,
2024.6.18,561.74,562.28,564.51,559.22,,
2024.6.17,562.4,557.32,563.37,555.09,,
2024.6.14,558.52,560.19,561.61,555.03,,
2024.6.13,563.8,561.97,564.37,558.87,,
2024.6.12,563.91,567.8,571.16,562.6,,
2024.6.11,562.68,560.78,562.7,557.81,,
2024.6.10,563,562.43,563.55,560.89,,
2024.6.7,563.6,566.06,568.2,561.55,,
2024.6.6,569.34,568.37,569.42,566.21,,
2024.6.5,568.86,565.46,568.95,562.92,,
2024.6.4,564.8,566.88,567.66,561.7,,
2024.6.3,571.77,575.19,575.19,566.98,,
2024.5.31,575.27,568.83,575.5,565.24,,
2024.5.30,569.05,563.36,569.27,563.33,,
2024.5.29,564.37,567.01,568.41,564,,
2024.5.28,572.5,574.74,575.85,570.63,,
2024.5.24,574.79,572.11,575.48,571.98,,
2024.5.23,569.8,575.85,575.88,568.68,,
2024.5.22,574.85,575.71,576.67,572.41,,
2024.5.21,580.57,579.59,580.72,578.14,,
2024.5.20,580.65,579.41,581.73,577.53,,
2024.5.17,579.79,577.64,579.87,576.4,,
2024.5.16,574.9,579.6,579.8,574.7,,
2024.5.15,579.14,581.37,581.54,576.65,,
2024.5.14,578.21,578.96,580.3,576.3,,
2024.5.13,577.76,579.43,581.23,577.26,,
2024.5.10,578.21,579.25,580.43,577.8,,
2024.5.9,577.47,572.36,577.89,571.87,,
2024.5.8,571.31,571.5,573.74,570.66,,
2024.5.7,573.86,569.35,574.8,569.12,,
2024.5.6,567.24,567.68,569.19,564.61,,
2024.5.3,563.67,561.47,564.98,560.8,,
2024.5.2,558.11,557.83,560.38,553.55,,
2024.5.1,560.96,561.08,569.9,558.63,,
2024.4.30,558.16,564.26,564.91,558.1,,
2024.4.29,568.44,566.96,568.76,565.72,,
2024.4.26,563.68,560.52,565.94,560.52,,
2024.4.25,560.17,555.21,561.46,551.32,,
2024.4.24,556.33,553.69,556.7,551.95,,
2024.4.23,555.9,555.13,558.46,553.74,,
2024.4.22,560.58,557.24,563.59,554.73,,
2024.4.19,560.03,562.31,564.26,558.04,,
2024.4.18,560.65,565.09,565.34,558.03,,
2024.4.17,560.47,562.01,565.32,558.78,,
2024.4.16,559.27,561.57,562.04,557.29,,
2024.4.15,563.42,571.55,574.12,561.53,,
2024.4.12,566.21,573.97,575.91,563.69,,
2024.4.11,576.4,578.07,578.91,573.63,,
2024.4.10,577,577.28,580.29,574.85,,
2024.4.9,586.08,588.62,589.15,580.13,,
2024.4.8,584.53,585.93,586.5,583.13,,
2024.4.5,584.35,578.97,584.9,578.41,,
2024.4.4,579.01,588.16,590.07,577.81,,
2024.4.3,584.94,582.01,585.56,582.01,,
2024.4.2,581.3,582.62,583.36,578.82,,
2024.4.1,583.67,587.21,587.31,582.52,,
2024.3.28,585.16,583.81,586.93,582.28,,
2024.3.27,583.63,576.51,583.64,576.19,,
2024.3.26,575.35,576.76,577.7,575.17,,
2024.3.25,575.98,575.92,578.26,575.38,,
2024.3.22,575.83,578.73,579.28,575.42,,
2024.3.21,579.25,578.51,580.27,576.28,,
2024.3.20,576.94,570.73,579.06,569.77,,
2024.3.19,571.37,571.11,571.92,568.87,,
2024.3.18,571.21,571.93,575.71,571,,
2024.3.15,570.26,567.26,572.36,566.61,,
2024.3.14,569.81,571.7,572.48,567.47,,
2024.3.13,572.99,569.43,575.74,569.43,,
2024.3.12,567.83,568.13,568.73,565.12,,
2024.3.11,568.16,564.34,570.44,562.34,,
2024.3.8,561.79,566.34,566.83,561.62,,
2024.3.7,564.93,562.73,567.64,562.73,,
2024.3.6,558.1,557.27,559.82,556.37,,
2024.3.5,553.97,555.74,558.68,552.14,,
2024.3.4,556.9,552.71,557.97,552.71,,
2024.3.1,553.03,550.36,554.29,550.2,,
2024.2.29,550.91,549.38,552.15,548.17,,
2024.2.28,546.58,543,548.66,542.56,,
2024.2.27,545.37,545.22,546.54,543.72,,
2024.2.26,543.46,544.56,545.71,542.87,,
2024.2.23,546.67,544.02,547.48,543.33,,
2024.2.22,543.52,539.52,544.43,538.51,,
2024.2.21,538.34,535.44,538.55,533.32,,
2024.2.20,535.28,536.2,537.18,534.08,,
2024.2.16,536.49,536.36,540.27,535.73,,
2024.2.15,533.78,526.28,534.56,526.28,,
2024.2.14,523.94,522.77,524.95,520.7,,
2024.2.13,520.5,522.94,524.15,516.84,,
2024.2.12,527.95,524.82,530.48,524.71,,
2024.2.9,524.12,521.8,524.12,520.09,,
2024.2.8,522.74,523.77,523.94,519.17,,
2024.2.7,523.71,522.29,525.07,522.29,,
2024.2.6,519.5,514.69,520.63,514.69,,
2024.2.5,510.79,517.11,517.11,509.05,,
2024.2.2,524.02,524.18,526.33,518.25,,
2024.2.1,527.02,525.16,527.73,520.01,,
2024.1.31,518.41,526.13,526.32,517.74,,
2024.1.30,525.07,521.25,527.47,521.25,,
2024.1.29,522.74,519.92,522.87,517.51,,
2024.1.26,520.05,521.74,523.04,519.15,,
2024.1.25,520.08,516.82,520.11,515.46,,
2024.1.24,514.46,524.44,524.65,514.31,,
2024.1.23,521.76,522.27,523.4,519.61,,
2024.1.22,520.09,515.99,520.8,515.6,,
2024.1.19,518.55,517.73,519.2,513.79,,
2024.1.18,518.02,516.69,518.61,513.57,,
2024.1.17,515.99,514.89,517.94,514.04,,
2024.1.16,520.16,523.02,523.89,518.82,,
2024.1.12,526.4,528.41,529.44,524.08,,
2024.1.11,525.68,527.56,527.9,521.92,,
2024.1.10,527.38,526.24,527.82,524.99,,
2024.1.9,528.28,530.73,530.73,526.49,,
2024.1.8,534.14,529.96,534.39,527.43,,
2024.1.5,531.94,529.79,535.01,529.13,,
2024.1.4,530.82,531.78,534.2,530.13,,
2024.1.3,532.58,534.28,535.42,529,,
2024.1.2,538.56,536.2,539.47,535.84,,
2023.12.29,539.62,539.93,541.21,538.63,,
2023.12.28,541.72,543.5,544.06,541.52,,
2023.12.27,544.23,542.27,544.65,541.66,,
2023.12.26,542.87,541.18,544.55,540.84,,
2023.12.22,540.47,539.16,541.62,538.37,,
2023.12.21,537.07,536.01,537.15,533.7,,
2023.12.20,531.67,537.76,539.61,531.51,,
2023.12.19,539.63,538.06,541.03,537.65,,
2023.12.18,534.74,538.63,538.81,534.46,,
2023.12.15,534.42,533.46,537.47,532.56,,
2023.12.14,535.49,530.34,538.48,530.34,,
2023.12.13,526.66,514.58,527.09,514.14,,
2023.12.12,520.43,523.03,524.71,518.1,,
2023.12.11,517.5,513.27,517.6,512.23,,
2023.12.8,513.85,511.64,516.32,511.63,,
2023.12.7,512.15,510.01,512.61,509.11,,
2023.12.6,508.74,511.49,513.62,508.18,,
2023.12.5,509.54,513.9,514.32,508.55,,
2023.12.4,516.63,518.4,522.49,516.59,,
2023.12.1,522.84,517.6,524.57,516.62,,
2023.11.30,517.2,512.79,517.7,511.03,,
2023.11.29,512.25,511.69,514.67,511.37,,
2023.11.28,510.33,509.57,513.07,507.95,,
2023.11.27,509.33,508.34,509.91,505.98,,
2023.11.24,509.76,508.48,511.7,508.17,,
2023.11.22,508.07,507.84,508.6,505.41,,
2023.11.21,507.47,506.69,509.51,506.49,,
2023.11.20,505.47,504.3,507.26,501.43,,
2023.11.17,504.69,505.42,506.57,503.42,,
2023.11.16,503.85,502.01,504.48,501.06,,
2023.11.15,502.62,501.33,506.98,501.14,,
2023.11.14,500.27,491.72,502.49,491.72,,
2023.11.13,486.12,484.43,488.07,483.43,,
2023.11.10,486.8,481.76,487.17,480.97,,
2023.11.9,481.23,487.36,487.95,480.85,,
2023.11.8,485.34,485.14,486.81,482.39,,
2023.11.7,484.1,488.35,488.46,483.26,,
2023.11.6,493.33,495.97,495.97,492.44,,
2023.11.3,495.87,491.46,499.35,491.46,,
2023.11.2,488.32,481.79,488.37,481.79,,
2023.11.1,479.1,479.12,480.07,474.06,,
2023.10.31,478.64,476.43,480.03,474.96,,
2023.10.30,476.48,474.27,477.82,473.24,,
2023.10.27,471.83,473.06,475.24,470.76,,
2023.10.26,472.11,471.77,476.18,470.6,,
2023.10.25,468.75,473.06,474.08,468.36,,
2023.10.24,474.16,471.92,477.07,471.92,,
2023.10.23,468.88,469.1,473.56,468.05,,
2023.10.20,473.96,479.14,480.53,473.88,,
2023.10.19,480.13,484.24,487.54,479.19,,
2023.10.18,485.38,494.12,494.12,484.88,,
2023.10.17,498.22,490.21,499.94,489.81,,
2023.10.16,493.24,491.9,496.66,490.81,,
2023.10.13,488.74,492.82,495.08,486.7,,
2023.10.12,490.53,499.39,499.39,486.8,,
2023.10.11,498.08,498.39,500.93,494.03,,
2023.10.10,496.92,493.91,500.97,493.68,,
2023.10.9,491.61,488.79,493.01,485.79,,
2023.10.6,490.89,485.67,494.35,483.59,,
2023.10.5,486.23,490.89,493.94,483.48,,
2023.10.4,492.44,489.35,493.15,485.89,,
2023.10.3,486.63,485.46,492.61,484.63,,
2023.10.2,488.08,492.85,493.13,484.7,,
2023.9.29,494.54,498.88,500.11,493.25,,
2023.9.28,495.65,491.21,497.36,491.17,,
2023.9.27,490.52,492.07,493.43,487.56,,
2023.9.26,490.44,495,497.1,489.12,,
2023.9.25,497.67,492.13,497.9,491.74,,
2023.9.22,493.72,495.02,498.03,493.05,,
2023.9.21,494.34,501.05,501.05,494.19,,
2023.9.20,504.66,511.04,512.96,504.33,,
2023.9.19,509.91,510.65,512.21,505.56,,
2023.9.18,510.41,511.95,512.95,508.81,,
