Date,Close,Open,High,Low,,
,SPLRCREC,SPLRCREC,SPLRCREC,SPLRCREC,,
2024.12.31,254.25,253.74,254.6,251.81,,
2024.12.30,252.25,252.15,252.87,249.78,,
2024.12.27,253.4,253.79,256.39,252.68,,
2024.12.26,255.93,254.44,256.2,253.6,,
2024.12.24,255.57,252.99,255.62,252.89,,
2024.12.23,253.76,251.65,254.08,251.02,,
2024.12.20,252.66,249.67,255.49,249.67,,
2024.12.19,248.28,253.11,254.38,248.14,,
2024.12.18,252.49,261.67,263.21,252.45,,
2024.12.17,262.87,262.13,265.26,261.67,,
2024.12.16,263.99,265.27,267.08,263.77,,
2024.12.13,265.76,265.83,267.25,265.37,,
2024.12.12,266.89,267.14,270.04,266.89,,
2024.12.11,267.37,268.94,269.5,266.6,,
2024.12.10,268.32,272.04,272.19,267.39,,
2024.12.9,272.73,272.8,273.56,271.59,,
2024.12.6,272.56,273.9,274.26,271.08,,
2024.12.5,272.83,271.44,273.07,271.26,,
2024.12.4,273.26,274.14,274.26,271.93,,
2024.12.3,274.15,276.33,276.46,273.93,,
2024.12.2,275.87,278.66,278.66,274.71,,
2024.11.29,279.92,281.29,282.68,279.77,,
2024.11.27,281.37,281.22,283.24,281.2,,
2024.11.26,279.61,278.2,280.05,276.76,,
2024.11.25,278.15,276.13,279.15,276.06,,
2024.11.22,274.7,274.16,275.16,273.5,,
2024.11.21,272.85,270.68,273.84,270.17,,
2024.11.20,271.06,270.44,271.6,269.36,,
2024.11.19,272.01,269.81,272.68,268.75,,
2024.11.18,270.54,266.95,270.61,266.91,,
2024.11.15,268.54,266.9,268.78,265.89,,
2024.11.14,267.53,269.44,269.44,267.24,,
2024.11.13,269.87,270.05,271.88,269.36,,
2024.11.12,267.96,270.81,271.75,267.89,,
2024.11.11,271.49,273.14,274.66,271.26,,
2024.11.8,273.66,270.86,274.58,270.49,,
2024.11.7,269.3,267.02,270.02,266.74,,
2024.11.6,266.28,270.63,270.63,263.16,,
2024.11.5,273.52,268.71,273.52,267.83,,
2024.11.4,270,268.23,270.25,267.77,,
2024.11.1,267.02,271.16,272.11,266.91,,
2024.10.31,270.07,271.81,274.48,270.07,,
2024.10.30,274.98,274.61,276.91,274.25,,
2024.10.29,273.96,275.63,277.02,273.91,,
2024.10.28,276.57,277.74,279.22,276.09,,
2024.10.25,275.66,280.16,281.66,275.51,,
2024.10.24,277.89,278.02,279.57,277.43,,
2024.10.23,278.18,274.79,278.65,274.79,,
2024.10.22,274.79,273.16,275.97,273.14,,
2024.10.21,274.21,278.79,279.48,273.93,,
2024.10.18,280.05,278.74,280.08,277.76,,
