Date,Close,Open,High,Low,,
,SPLRCU,SPLRCU,SPLRCU,SPLRCU,,
2024.12.31,384.95,385.66,387.17,383.19,,
2024.12.30,385.42,384.74,386.28,381.82,,
2024.12.27,386.91,385.32,388.1,384.93,,
2024.12.26,388.04,387.64,389.22,386.82,,
2024.12.24,389.1,386.77,389.1,385.82,,
2024.12.23,386.94,384.42,387.18,380.92,,
2024.12.20,385.43,377.83,386.32,377.77,,
2024.12.19,379.63,378.55,383.78,378.39,,
2024.12.18,377.81,386.46,387.21,377.7,,
2024.12.17,387.07,385.67,388.6,385.42,,
2024.12.16,388.56,391.69,392.96,388.56,,
2024.12.13,391.79,391.9,393.84,391.32,,
2024.12.12,391.5,393.69,394.9,391.29,,
2024.12.11,391.91,395.15,395.38,391.17,,
2024.12.10,394.16,395.54,396.15,391.26,,
2024.12.9,397.43,402.22,402.69,397.26,,
2024.12.6,402.66,407.98,408.55,401.72,,
2024.12.5,407.53,406.85,409.84,406.4,,
2024.12.4,406.5,406.57,408.8,404.79,,
2024.12.3,406.41,412.34,413.56,406.41,,
2024.12.2,410.01,418.89,418.95,409.88,,
2024.11.29,418.72,420.32,420.34,418.04,,
2024.11.27,418.94,420.51,421.57,418.57,,
2024.11.26,419.01,413.51,419.23,412.76,,
2024.11.25,412.57,414.32,415.67,409.39,,
2024.11.22,411.75,415.48,415.85,411.56,,
2024.11.21,414.48,407.79,414.81,405.98,,
2024.11.20,407.35,407.76,409.16,405.31,,
2024.11.19,407.04,402.94,407.15,401.11,,
2024.11.18,404.36,400.68,405.61,400.31,,
2024.11.15,401.46,395.01,401.7,395.01,,
2024.11.14,395.66,397.31,399.51,395.13,,
2024.11.13,397.18,399.9,400.48,395.52,,
2024.11.12,398.14,402.05,402.32,396.23,,
2024.11.11,402.69,401.78,405.06,400.76,,
2024.11.8,401.48,396.19,402.47,396.15,,
2024.11.7,394.42,395.71,398.21,392.29,,
2024.11.6,393.82,394.4,395.42,390.01,,
2024.11.5,397.71,391.34,397.75,390.69,,
2024.11.4,391.92,392.27,394.54,389.8,,
2024.11.1,396.74,405.27,406.83,396.34,,
2024.10.31,405.9,402.49,408.73,402.4,,
2024.10.30,401.71,404.03,404.84,401.02,,
2024.10.29,402.66,406.56,406.79,402.62,,
2024.10.28,411.43,410.03,413.18,409.53,,
2024.10.25,408.22,416.25,416.36,407.95,,
2024.10.24,414.26,417.28,417.89,413.02,,
2024.10.23,417.22,413.14,417.24,413.08,,
2024.10.22,413.03,412.14,413.91,409.89,,
2024.10.21,414.67,417.34,418.36,412.99,,
2024.10.18,416.16,413.36,416.46,411.87,,
2024.10.17,413.86,418.85,418.88,413.58,,
2024.10.16,417.73,410.99,418.29,409.64,,
2024.10.15,409.4,409.9,412.35,408.9,,
2024.10.14,407.58,403.02,407.89,402.62,,
2024.10.11,402.39,397.54,402.45,396.55,,
2024.10.10,398.84,400.6,403.72,398.74,,
2024.10.9,400.08,402.24,403.55,397.94,,
