Price,Close,High,Low,Open,Volume
Ticker,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS
Date,,,,,
2015-01-02,41524.9296875,42090.190510471206,41437.966483965974,41698.856094568066,1155944
2015-01-05,41437.96484375,42090.18884443861,41307.520043612276,41785.81764411726,1409146
2015-01-06,41307.51953125,41394.48273026316,40785.74033717105,40872.70353618421,1661196
2015-01-07,41220.55859375,41394.485001318564,40611.816167260025,40611.816167260025,1821266
2015-01-08,43438.12109375,43481.60269644645,41655.3753831957,41959.74660207082,5006675
2015-01-09,43220.7109375,44699.08535588531,43220.7109375,44090.342948314894,3313929
2015-01-12,43742.49609375,43916.422519570086,43003.30878401466,43481.606455019886,1709997
2015-01-13,42611.96484375,43177.22560188138,42177.148875956635,42177.148875956635,3047952
2015-01-14,42525.01171875,43351.16225316334,42481.530111675616,42525.01171875,2241954
2015-01-15,43046.7890625,43046.7890625,42481.52819602273,42525.00980113636,1468474
2015-01-16,41264.0390625,42525.00548274499,41090.112659707585,42133.671076462066,4820176
2015-01-19,40872.70703125,41698.85749251995,40698.78061835107,41307.52306349734,3180759
2015-01-20,40916.1875,41437.96672422954,40698.77948990436,41090.11390807651,2211331
2015-01-21,41785.81640625,41916.26120252341,41220.55562239854,41307.51881991415,2156709
2015-01-22,40872.70703125,42133.67352476729,40872.70703125,41829.30230219415,2905955
2015-01-23,41307.51953125,41524.92752878289,41046.62993421053,41394.48273026316,1572903
2015-01-26,41959.75390625,42003.235516515546,40872.713649611396,41090.12170093912,1410144
2015-01-27,42742.41796875,42916.34438978255,42438.04673194303,42916.34438978255,2292330
2015-01-28,42785.8984375,42872.8616457063,41916.266355436994,42742.41683339685,2333159
2015-01-29,41220.55859375,42785.89626186709,41133.59538996572,42177.15383537711,5020783
2015-01-30,41437.96484375,41742.33604407135,41133.59364342865,41742.33604407135,2743159
2015-02-02,40524.85546875,41394.48756035408,40307.44744584898,41133.59793287286,3258140
2015-02-03,40611.81640625,41264.040438470285,40394.408395509905,40394.408395509905,2513399
2015-02-04,41133.60546875,41264.05030638874,40872.71579347251,41220.56869384249,1823018
2015-02-05,41003.15234375,41220.56036253977,40263.96507986479,41133.59715502386,1984849
2015-02-06,39568.26171875,41046.63633241758,39307.372081043955,40959.6731198489,4547785
2015-02-09,39307.3671875,39959.59120056692,39133.44078401549,39394.330389242255,2741040
2015-02-10,39263.88671875,39829.1475463732,39176.923514500275,39350.849922999725,2254222
2015-02-11,40742.26171875,40916.1881295024,39698.70325423559,39916.11126767609,3231887
2015-02-12,40568.33984375,41307.52717209271,40524.85823620043,41264.04556454314,1903965
2015-02-13,40916.1875,41264.04031615303,40655.29788788523,40872.70589798087,1354556
2015-02-16,41307.51953125,41351.00113075658,41046.62993421053,41351.00113075658,1534022
2015-02-17,40394.40625,41264.038246770724,40263.96145048439,41177.07504709365,1677139
2015-02-23,41046.6328125,41046.6328125,40350.92717161017,40437.8903767214,2273267
2015-02-24,41394.49609375,41655.38577501313,41046.64318539916,41655.38577501313,1880503
2015-02-25,40437.89453125,41220.56345766129,40350.9313172043,41046.637029569894,2633709
2015-02-26,40959.66796875,41046.63117038217,40394.40715814092,40655.296763037426,1938544
2015-02-27,40524.85546875,41133.59793287286,40220.48423668857,40872.708305391636,2344677
2015-03-02,40742.26171875,40785.7433214381,40263.964089180896,40742.26171875,2246166
2015-03-03,41133.60546875,41307.53191893499,40568.34450564878,41003.160631111255,2100433
2015-03-04,39916.11328125,41133.598217933,39742.18686172386,41133.598217933,4160256
2015-03-05,39568.26171875,40090.04099416209,39350.853687328294,39698.70653760302,2214809
2015-03-06,40177.00390625,40350.93033008658,39959.595876454274,40046.55908837256,1877771
2015-03-09,39220.40234375,39785.66313140937,39002.994348496395,39524.773537105044,3175721
2015-03-10,38394.25390625,39568.25714007644,37481.14027994055,39307.36753255946,5232109
2015-03-11,37742.03515625,38263.81444412442,37524.62711963566,37828.99837089574,4527681
2015-03-12,37611.59375,38350.7811416185,37611.59375,37742.03858381503,3929253
2015-03-13,38350.76953125,38394.251129357996,37698.5455596301,37698.5455596301,1962212
2015-03-16,39829.1484375,40003.07484989083,38611.66355076419,38611.66355076419,4031380
2015-03-17,40220.48046875,40394.40687077703,39872.627664695945,40090.03566722973,2790117
2015-03-18,40220.48046875,40350.92527027027,39655.21966216216,40220.48046875,2790286
2015-03-19,40350.9296875,40872.708950700435,40263.9664769666,40829.227345433734,1983215
2015-03-20,40742.26171875,40742.26171875,39872.629664987995,40394.408897245194,1948819
2015-03-23,41872.78515625,41916.26676077362,40916.18985673027,40959.67146125389,3781841
2015-03-24,41742.33984375,41916.26625976562,41351.005407714845,41481.45021972656,2155547
2015-03-25,42003.2265625,42046.708163496376,41611.89215353261,41742.33695652174,1830867
2015-03-26,40872.70703125,41307.52306349734,40481.3726022274,41090.11504737367,4469503
2015-03-27,39829.1484375,40350.927674672486,39481.29561271834,40133.51965918395,4492231
2015-03-30,39568.26171875,40307.44902558379,39220.40886847527,40003.077781593405,2776997
