Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2015-01-02,20652.7890625,20808.073190789473,20606.20382401316,20808.073190789473,8774950
2015-01-05,20699.375,20745.960240060016,20388.806732933233,20745.960240060016,10139500
2015-01-06,20109.298828125,20450.92398196187,20000.59991554054,20419.86714979488,15235500
2015-01-07,20295.63671875,20357.75037358933,19907.42637600421,20093.76734052219,14322750
2015-01-08,20404.333984375,20792.544296102074,20342.220334498666,20792.544296102074,14477600
2015-01-09,20404.333984375,20528.561284127663,20404.333984375,20404.333984375,9312400
2015-01-12,20435.390625,20481.97586198708,20202.46444006459,20388.805388012916,8325400
2015-01-13,20792.54296875,20808.071380227782,20186.934921116506,20404.332681805452,12293400
2015-01-14,20885.716796875,21041.000936628716,20730.43265712128,20792.54631302277,14332250
2015-01-15,20714.91015625,20947.836432369753,20637.268064210082,20885.72275873782,14103900
2015-01-16,20435.390625,20714.902046922492,20388.805388012916,20714.902046922492,13568500
2015-01-19,20854.66796875,20947.838488342328,20497.51431031273,20637.27008970123,6672950
2015-01-20,21304.990234375,21304.990234375,20885.722933844296,20963.365026535168,13278050
2015-01-21,21662.140625,21662.140625,21118.64605734767,21227.344970878137,16612650
2015-01-22,21398.154296875,21724.250987901396,21398.154296875,21708.722574042997,17957700
2015-01-23,21522.3828125,21739.78061868687,21382.627079951297,21739.78061868687,12858750
2015-01-26,21568.96875,21662.13924136069,21180.758369330455,21351.570936825054,10153500
2015-01-27,21739.779296875,21739.779296875,21336.040538504465,21351.568952287947,9957200
2015-01-28,21398.154296875,21584.4952631758,21336.0406414414,21522.381607742198,10831500
2015-01-29,21118.640625,21662.135052849262,21072.055388327204,21242.867922794117,13702250
2015-01-30,21196.287109375,21382.628094951924,21118.64503205128,21118.64503205128,16110000
2015-02-02,21242.87109375,21382.626824629933,21056.53011924342,21196.285850123357,10521000
2015-02-03,21211.810546875,21429.208312362738,21103.11166413113,21429.208312362738,5654400
2015-02-04,21103.115234375,21444.7403522236,21103.115234375,21351.569865537618,9328900
2015-02-05,21087.5859375,21258.39848927651,20901.244971925626,21103.114351297863,6770400
2015-02-06,21304.990234375,21336.047071451347,20745.96716700073,20901.25135238247,8005050
2015-02-09,21662.140625,21724.254289874552,21072.060808691756,21118.64605734767,8693500
