observation_date,NASDAQSX4020GI
2015-01-02,1594.32
2015-01-05,1588.68
2015-01-06,
2015-01-07,1565.62
2015-01-08,1620.91
2015-01-09,1606.99
2015-01-12,1617.47
2015-01-13,1631.25
2015-01-14,1596.07
2015-01-15,1609.49
2015-01-16,1603.74
2015-01-19,1617.61
2015-01-20,1622.77
2015-01-21,1632.35
2015-01-22,1651.95
2015-01-23,1653.93
2015-01-26,1675.29
2015-01-27,1656.16
2015-01-28,1711.42
2015-01-29,1725.63
2015-01-30,1792.20
2015-02-02,1811.95
2015-02-03,1805.67
2015-02-04,1823.79
2015-02-05,1824.10
2015-02-06,1814.56
2015-02-09,1806.45
2015-02-10,1837.20
2015-02-11,1834.35
2015-02-12,1859.32
2015-02-13,1862.06
2015-02-16,1844.04
2015-02-17,1835.07
2015-02-18,1828.39
2015-02-19,1843.08
2015-02-20,1832.54
2015-02-23,1841.37
2015-02-24,1847.49
2015-02-25,1856.12
2015-02-26,1856.67
2015-02-27,1873.59
2015-03-02,1856.86
2015-03-03,1839.13
2015-03-04,1844.25
2015-03-05,1868.82
2015-03-06,1851.01
2015-03-09,1850.10
2015-03-10,1829.21
2015-03-11,1840.04
2015-03-12,1836.70
2015-03-13,1840.54
2015-03-16,1847.09
2015-03-17,1824.15
2015-03-18,1845.53
2015-03-19,1849.62
2015-03-20,1834.39
2015-03-23,1822.90
2015-03-24,1830.82
2015-03-25,1793.86
2015-03-26,1776.66
2015-03-27,1779.43
2015-03-30,1796.62
2015-03-31,1790.18
2015-04-01,1796.67
2015-04-02,1801.97
2015-04-03,
2015-04-06,
2015-04-07,1826.21
2015-04-08,1797.77
2015-04-09,1808.55
2015-04-10,1826.94
2015-04-13,1812.58
2015-04-14,1817.25
2015-04-15,1834.24
2015-04-16,1844.08
2015-04-17,1814.31
2015-04-20,1835.08
2015-04-21,1853.64
2015-04-22,1859.95
2015-04-23,1851.70
2015-04-24,1898.16
2015-04-27,1926.61
2015-04-28,1887.96
2015-04-29,1864.97
2015-04-30,1895.64
2015-05-01,
2015-05-04,1931.62
2015-05-05,1900.13
2015-05-06,1892.48
2015-05-07,1896.85
2015-05-08,1929.72
2015-05-11,1919.45
2015-05-12,1893.32
2015-05-13,1925.24
2015-05-14,
2015-05-15,1931.59
2015-05-18,1926.10
2015-05-19,1956.62
2015-05-20,1971.69
2015-05-21,1975.72
2015-05-22,1976.40
2015-05-25,1996.22
2015-05-26,1971.56
2015-05-27,1996.20
2015-05-28,1989.83
2015-05-29,1960.89
2015-06-01,1963.38
2015-06-02,1945.61
2015-06-03,1944.54
2015-06-04,1924.26
2015-06-05,1903.05
2015-06-08,1897.54
2015-06-09,1888.59
2015-06-10,1918.64
2015-06-11,1933.77
2015-06-12,1925.78
2015-06-15,1886.38
2015-06-16,1910.39
2015-06-17,1896.48
2015-06-18,1889.74
2015-06-19,
2015-06-22,1937.63
2015-06-23,1946.34
2015-06-24,1937.84
2015-06-25,1929.12
2015-06-26,1941.17
2015-06-29,1882.45
2015-06-30,1878.24
2015-07-01,1904.90
2015-07-02,1852.13
2015-07-03,1856.58
2015-07-06,1838.45
2015-07-07,1836.92
2015-07-08,1852.00
2015-07-09,1884.16
2015-07-10,1917.04
2015-07-13,1952.16
2015-07-14,1968.16
2015-07-15,1966.51
2015-07-16,2004.29
2015-07-17,2017.11
2015-07-20,2033.39
2015-07-21,2018.42
2015-07-22,2016.27
2015-07-23,2027.45
2015-07-24,2032.37
2015-07-27,1988.08
2015-07-28,1997.29
2015-07-29,2019.94
2015-07-30,2017.36
2015-07-31,2032.85
2015-08-03,2057.90
2015-08-04,2065.45
2015-08-05,2072.59
2015-08-06,2070.87
2015-08-07,2055.21
2015-08-10,2071.84
2015-08-11,2039.49
2015-08-12,1981.18
2015-08-13,2001.81
2015-08-14,2003.24
2015-08-17,1999.19
2015-08-18,1997.68
2015-08-19,1978.42
2015-08-20,1954.62
2015-08-21,1902.60
2015-08-24,1816.42
2015-08-25,1912.86
2015-08-26,1897.88
2015-08-27,1935.66
2015-08-28,1969.67
2015-08-31,1956.62
2015-09-01,1917.23
2015-09-02,1924.87
2015-09-03,1964.52
2015-09-04,1928.12
2015-09-07,1946.26
2015-09-08,1954.59
2015-09-09,1964.62
2015-09-10,1963.49
2015-09-11,1955.50
2015-09-14,1935.86
2015-09-15,1926.48
2015-09-16,1956.89
2015-09-17,1957.75
2015-09-18,1941.54
2015-09-21,1951.56
2015-09-22,1903.84
2015-09-23,1912.46
2015-09-24,1869.79
2015-09-25,1916.60
2015-09-28,1887.18
2015-09-29,1876.24
2015-09-30,1918.22
2015-10-01,1871.53
2015-10-02,1868.65
2015-10-05,1914.22
2015-10-06,1913.84
2015-10-07,1861.26
2015-10-08,1882.15
2015-10-09,1894.47
2015-10-12,1900.87
2015-10-13,1898.24
2015-10-14,1880.07
2015-10-15,1911.79
2015-10-16,1926.27
2015-10-19,1944.10
2015-10-20,1957.92
2015-10-21,1950.93
2015-10-22,1985.99
2015-10-23,2020.60
2015-10-26,2005.96
2015-10-27,1995.25
2015-10-28,2019.59
2015-10-29,2057.71
2015-10-30,2054.86
2015-11-02,2028.49
2015-11-03,2038.63
2015-11-04,2073.89
2015-11-05,2069.55
2015-11-06,2053.10
2015-11-09,2052.48
2015-11-10,2053.27
2015-11-11,2068.19
2015-11-12,2056.58
2015-11-13,2020.80
2015-11-16,2028.78
2015-11-17,2066.21
2015-11-18,2060.67
2015-11-19,2074.16
2015-11-20,2103.98
2015-11-23,2099.76
2015-11-24,2067.70
2015-11-25,2099.53
2015-11-26,2106.68
2015-11-27,2103.14
2015-11-30,2114.87
2015-12-01,2118.46
2015-12-02,2122.14
2015-12-03,2074.41
2015-12-04,2051.69
2015-12-07,2020.89
2015-12-08,1983.48
2015-12-09,1963.11
2015-12-10,1956.10
2015-12-11,1918.51
2015-12-14,1907.47
2015-12-15,1958.21
2015-12-16,1978.02
2015-12-17,2003.15
2015-12-18,1983.20
2015-12-21,1975.11
2015-12-22,1955.97
2015-12-23,1987.98
2015-12-24,
2015-12-25,
2015-12-28,1977.45
2015-12-29,2009.49
2015-12-30,2010.47
2015-12-31,
2016-01-01,
2016-01-04,1947.16
2016-01-05,1934.83
2016-01-06,
2016-01-07,1896.82
2016-01-08,1883.06
2016-01-11,1887.87
2016-01-12,1895.20
2016-01-13,1915.82
2016-01-14,1874.83
2016-01-15,1854.90
2016-01-18,1868.54
2016-01-19,1897.14
2016-01-20,1851.11
2016-01-21,1871.01
2016-01-22,1914.31
2016-01-25,1915.45
2016-01-26,1926.59
2016-01-27,1934.46
2016-01-28,1924.52
2016-01-29,1972.72
2016-02-01,1981.10
2016-02-02,1966.30
2016-02-03,1938.14
2016-02-04,1932.70
2016-02-05,1913.33
2016-02-08,1851.82
2016-02-09,1843.93
2016-02-10,1863.12
2016-02-11,1821.34
2016-02-12,1866.59
2016-02-15,1922.30
2016-02-16,1908.89
2016-02-17,1954.00
2016-02-18,1963.61
2016-02-19,1957.34
2016-02-22,1963.12
2016-02-23,1940.99
2016-02-24,1912.40
2016-02-25,1968.22
2016-02-26,1988.61
2016-02-29,1982.26
2016-03-01,2013.13
2016-03-02,1975.85
2016-03-03,1960.53
2016-03-04,1979.54
2016-03-07,1969.39
2016-03-08,1963.76
2016-03-09,1974.29
2016-03-10,1961.14
2016-03-11,1984.72
2016-03-14,2014.41
2016-03-15,2008.86
2016-03-16,1999.01
2016-03-17,2004.77
2016-03-18,1997.99
2016-03-21,1988.83
2016-03-22,1987.22
2016-03-23,2005.27
2016-03-24,1999.80
2016-03-25,
2016-03-28,
2016-03-29,2008.46
2016-03-30,2042.85
2016-03-31,2027.41
2016-04-01,2017.75
2016-04-04,2030.79
2016-04-05,2019.46
2016-04-06,2038.84
2016-04-07,2025.22
2016-04-08,2058.71
2016-04-11,2053.98
2016-04-12,2050.81
2016-04-13,2070.38
2016-04-14,2072.43
2016-04-15,2060.60
2016-04-18,2071.48
2016-04-19,2112.64
2016-04-20,2109.44
2016-04-21,2090.59
2016-04-22,2037.38
2016-04-25,2053.17
2016-04-26,2048.54
2016-04-27,2061.35
2016-04-28,2116.85
2016-04-29,2101.21
2016-05-02,2081.75
2016-05-03,2081.59
2016-05-04,2099.76
2016-05-05,
2016-05-06,2096.36
2016-05-09,2124.87
2016-05-10,2128.88
2016-05-11,2119.69
2016-05-12,2114.83
2016-05-13,2116.34
2016-05-16,2124.88
2016-05-17,2113.17
2016-05-18,2131.07
2016-05-19,2107.85
2016-05-20,2140.23
2016-05-23,2139.44
2016-05-24,2179.99
2016-05-25,2179.32
2016-05-26,2201.94
2016-05-27,2186.82
2016-05-30,2185.85
2016-05-31,2195.74
2016-06-01,2179.90
2016-06-02,2180.95
2016-06-03,2171.74
2016-06-06,
2016-06-07,2193.14
2016-06-08,2188.85
2016-06-09,2162.41
2016-06-10,2129.93
2016-06-13,2100.03
2016-06-14,2065.61
2016-06-15,2087.80
2016-06-16,2064.46
