Model,Annualized Return (%),Annualized Risk (%),Sharpe Ratio,Gross Exposure,Year
Integrated,-2.9079,8.1202,-0.3581,1.0000,2022
LASSO-only,-4.1081,8.2396,-0.4986,1.0000,2022
POET-only,-4.9034,9.7915,-0.5008,1.0000,2022
OLS,0.2391,9.5337,0.0251,1.0000,2022
Integrated,-0.3844,4.6531,-0.0826,1.5000,2022
LASSO-only,-1.7573,4.4286,-0.3968,1.5000,2022
POET-only,-0.0458,2.2973,-0.0200,1.5000,2022
OLS,0.0000,0.0000,0.0000,1.5000,2022
Integrated,2.5351,5.3450,0.4743,2.0000,2022
LASSO-only,2.6776,5.0681,0.5283,2.0000,2022
POET-only,-5.0419,3.9188,-1.2866,2.0000,2022
OLS,0.4804,0.4393,1.0935,2.0000,2022
Integrated,1.7580,5.9025,0.2978,2.5000,2022
LASSO-only,1.8310,5.6310,0.3252,2.5000,2022
POET-only,-8.0903,5.1237,-1.5790,2.5000,2022
OLS,-1.2661,1.6336,-0.7750,2.5000,2022
Integrated,-0.5575,6.0416,-0.0923,3.0000,2022
LASSO-only,0.9453,5.8268,0.1622,3.0000,2022
POET-only,-8.6028,5.2031,-1.6534,3.0000,2022
OLS,-0.6445,1.5906,-0.4052,3.0000,2022
Integrated,12.1715,7.0118,1.7359,1.0000,2023
LASSO-only,11.1840,6.6300,1.6869,1.0000,2023
POET-only,6.1779,6.3842,0.9677,1.0000,2023
OLS,8.5927,6.4499,1.3322,1.0000,2023
Integrated,0.8903,2.7963,0.3184,1.5000,2023
LASSO-only,0.2232,2.0009,0.1115,1.5000,2023
POET-only,-0.1206,1.5644,-0.0771,1.5000,2023
OLS,0.0000,0.0000,0.0000,1.5000,2023
Integrated,8.5988,4.8801,1.7620,2.0000,2023
LASSO-only,3.8215,3.5940,1.0633,2.0000,2023
POET-only,3.6379,2.3672,1.5368,2.0000,2023
OLS,0.0000,0.0000,0.0000,2.0000,2023
Integrated,8.9238,5.3645,1.6635,2.5000,2023
LASSO-only,6.5045,5.4321,1.1974,2.5000,2023
POET-only,3.5416,2.7468,1.2894,2.5000,2023
OLS,0.3212,0.2014,1.5948,2.5000,2023
Integrated,9.4739,5.6008,1.6915,3.0000,2023
LASSO-only,6.7321,5.6685,1.1876,3.0000,2023
POET-only,2.0167,2.8919,0.6974,3.0000,2023
OLS,0.6825,0.5260,1.2974,3.0000,2023
Integrated,13.2068,7.0048,1.8854,1.0000,2024
LASSO-only,10.8888,7.6054,1.4317,1.0000,2024
POET-only,12.7346,5.6173,2.2670,1.0000,2024
OLS,6.5339,6.0085,1.0874,1.0000,2024
Integrated,5.3199,4.3926,1.2111,1.5000,2024
LASSO-only,4.6558,4.4654,1.0426,1.5000,2024
POET-only,5.3914,2.6936,2.0015,1.5000,2024
OLS,0.0000,0.0000,0.0000,1.5000,2024
Integrated,17.6550,5.3357,3.3089,2.0000,2024
LASSO-only,11.9011,5.2924,2.2487,2.0000,2024
POET-only,7.8502,3.0017,2.6152,2.0000,2024
OLS,-0.0932,0.0929,-1.0040,2.0000,2024
Integrated,15.3491,5.7936,2.6493,2.5000,2024
LASSO-only,12.9325,5.5431,2.3331,2.5000,2024
POET-only,11.9206,3.3995,3.5066,2.5000,2024
OLS,0.8346,0.7459,1.1189,2.5000,2024
Integrated,14.6419,6.0321,2.4273,3.0000,2024
LASSO-only,12.4694,5.7788,2.1578,3.0000,2024
POET-only,10.7553,3.5805,3.0039,3.0000,2024
OLS,1.2548,1.1756,1.0673,3.0000,2024
