"Date","Period","GrossExposure","PortfolioReturn","PortfolioRisk","PredictedReturn"
2023-01-03,"2023",1,-0.000386473315508579,0.0223330177136856,0.0149244630322439
2023-01-03,"2023",1.5,-0.000768205005538732,0.0221836945465735,0.0155981113210857
2023-01-03,"2023",2,-0.000768205005538732,0.0221836945465735,0.0155981113210857
2023-01-03,"2023",2.5,-0.000768205005538732,0.0221836945465735,0.0155981113210857
2023-01-03,"2023",3,-0.000768205005538732,0.0221836945465735,0.0155981113210857
2023-01-04,"2023",1,0.000750974498431577,0.0243517795845889,0.011674979380667
2023-01-04,"2023",1.5,0.000655662481841298,0.0242863438070501,0.0119573361110207
2023-01-04,"2023",2,0.000655662481841298,0.0242863438070501,0.0119573361110207
2023-01-04,"2023",2.5,0.000655662481841298,0.0242863438070501,0.0119573361110207
2023-01-04,"2023",3,0.000655662481841298,0.0242863438070501,0.0119573361110207
2023-01-05,"2023",1,-0.0004666570111844,0.0235903520132271,0.0139505253788456
2023-01-05,"2023",1.5,-0.000532677544510445,0.0233600237010582,0.0152963701517171
2023-01-05,"2023",2,-0.000532677544510445,0.0233600237010582,0.0152963701517171
2023-01-05,"2023",2.5,-0.000532677544510445,0.0233600237010582,0.0152963701517171
2023-01-05,"2023",3,-0.000532677544510445,0.0233600237010582,0.0152963701517171
2023-01-06,"2023",1,-0.00282103257229339,0.0248107083361227,0.0121168529679547
2023-01-06,"2023",1.5,-0.0028002972071122,0.0248009067191038,0.0123672097586078
2023-01-06,"2023",2,-0.0028002972071122,0.0248009067191038,0.0123672097586078
2023-01-06,"2023",2.5,-0.0028002972071122,0.0248009067191038,0.0123672097586078
2023-01-06,"2023",3,-0.0028002972071122,0.0248009067191038,0.0123672097586078
2023-01-09,"2023",1,-0.00110092203346113,0.0247979442595536,0.0117649369163715
2023-01-09,"2023",1.5,-0.0010743016550445,0.0247907031719495,0.0120428125869703
2023-01-09,"2023",2,-0.0010743016550445,0.0247907031719495,0.0120428125869703
2023-01-09,"2023",2.5,-0.0010743016550445,0.0247907031719495,0.0120428125869703
2023-01-09,"2023",3,-0.0010743016550445,0.0247907031719495,0.0120428125869703
2023-01-10,"2023",1,-0.00342477268419836,0.0243177523892702,0.01103674462703
2023-01-10,"2023",1.5,-0.00324553649737408,0.024222826204201,0.011601781684826
2023-01-10,"2023",2,-0.00324553649737408,0.024222826204201,0.011601781684826
2023-01-10,"2023",2.5,-0.00324553649737408,0.024222826204201,0.011601781684826
2023-01-10,"2023",3,-0.00324553649737408,0.024222826204201,0.011601781684826
2023-01-11,"2023",1,0.00040619022670274,0.0248164059567655,0.0114103314773239
2023-01-11,"2023",1.5,0.000455066654141661,0.0248091827811101,0.0116885680650191
2023-01-11,"2023",2,0.000455066654141661,0.0248091827811101,0.0116885680650191
2023-01-11,"2023",2.5,0.000455066654141661,0.0248091827811101,0.0116885680650191
2023-01-11,"2023",3,0.000455066654141661,0.0248091827811101,0.0116885680650191
2023-01-12,"2023",1,-0.00073824086837666,0.0242374044824467,0.0103853166069007
2023-01-12,"2023",1.5,-0.000882599498521107,0.0241122375447818,0.0109241851759722
2023-01-12,"2023",2,-0.000882599498521107,0.0241122375447818,0.0109241851759722
2023-01-12,"2023",2.5,-0.000882599498521107,0.0241122375447818,0.0109241851759722
2023-01-12,"2023",3,-0.000882599498521107,0.0241122375447818,0.0109241851759722
2023-01-13,"2023",1,0.000337088864943752,0.0248170646725459,0.0113669667193803
2023-01-13,"2023",1.5,0.000339239874213984,0.0248101555515904,0.0116362363183393
2023-01-13,"2023",2,0.000339239874213984,0.0248101555515904,0.0116362363183393
2023-01-13,"2023",2.5,0.000339239874213984,0.0248101555515904,0.0116362363183393
2023-01-13,"2023",3,0.000339239874213984,0.0248101555515904,0.0116362363183393
2023-01-17,"2023",1,7.47696350274544e-05,0.0243332684363034,0.0108847304819962
2023-01-17,"2023",1.5,-4.44368722146496e-06,0.0242549926547404,0.0113896110821267
2023-01-17,"2023",2,-4.44368722146496e-06,0.0242549926547404,0.0113896110821267
2023-01-17,"2023",2.5,-4.44368722146496e-06,0.0242549926547404,0.0113896110821267
