"GrossExposure","PortfolioReturn","ForecastedRisk","RealizedVolatility","Period","AnnualizedReturn","AnnualizedRealizedVolatility","SharpeRatio"
1,0.000175005243201486,0.0331132522991869,0.0025286491297513,"2023",0.0441013212867744,0.040141060501571,0.600415658819755
1.5,0.000237928849220575,0.0466599272391061,0.00343829260741118,"2023",0.0599580700035849,0.0545812030432909,0.732084816303743
2,0.000317238465627434,0.0622132363188082,0.00458439014321491,"2023",0.0799440933381133,0.0727749373910546,0.823691444982012
2.5,0.000396548082034292,0.0777665453985102,0.00573048767901864,"2023",0.0999301166726416,0.0909686717388182,0.878655422188974
3,0.00047585769844115,0.0933198544782123,0.00687658521482236,"2023",0.11991614000717,0.109162406086582,0.915298073660282
1,0.000135462541503692,0.0617747313485789,0.0042111677096803,"2024",0.0341365604589304,0.0668502149339971,0.211466193083864
1.5,0.0002101748453892,0.0809873887259003,0.00518581635810303,"2024",0.0529640610380784,0.0823222825703478,0.40042695621212
2,0.0002802331271856,0.107983184967867,0.00691442181080404,"2024",0.0706187480507712,0.10976304342713,0.461163853245159
2.5,0.000350291408982,0.134978981209834,0.00864302726350505,"2024",0.088273435063464,0.137203804283913,0.497605991464983
3,0.0004203496907784,0.161974777451801,0.0103716327162061,"2024",0.105928122076157,0.164644565140696,0.521900750278199
1,0.000155194428578439,0.0474725960943913,0.00347154194904033,"2023-2024",0.0391089960017667,0.0551090199785351,0.346748971569621
1.5,0.000224024148698269,0.0638579169261028,0.00439702432566857,"2023-2024",0.0564540854719639,0.0698005972465231,0.522260366099944
2,0.000298698864931026,0.0851438892348037,0.00586269910089142,"2023-2024",0.0752721139626185,0.0930674629953641,0.593892990994842
2.5,0.000373373581163782,0.106429861543505,0.00732837387611428,"2023-2024",0.0940901424532732,0.116334328744205,0.63687256593178
3,0.000448048297396539,0.127715833852206,0.00879404865133714,"2023-2024",0.112908170943928,0.139601194493046,0.665525615889739
