Date,Aluminium,Brent,BTC,CAC40,COCOA,COFFEE,Copper,Corn,COTTON,DAX,DIA,ETHANOL,EUR_KRW,EuroStoxx50,EURUSD,FTSE,FTSE100,GBPUSD,Gold,HangSeng,Hyundai,IWM,JPY_KRW,Kakao,KOSDAQ,KOSPI,KOSPI200,LGChem,MSCI_EM,MSCI_World,Nasdaq.US.Benchmark.Consumer.Digital.Services,NASDAQ,NaturalGas,Naver,Nikkei225,NYSE,OMX,Palladium,Platinum,QQQ,Samsung,Shanghai,Silver,SKHynix,Soybeans,SPY,STEEL,SUGAR,Swedish.Consumer.Products.and.Services.GI,US_Dollar_Index,US10Y,US30Y,US3M,US5Y,USDCNY,USDJPY,USDKRW,VIX,WHEAT,WTI,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2015-01-05,0,-0.060458427,-0.137817727,-0.03370383,0,0,-0.016159471,0,0,-0.030314409,-0.017575306,0,0.00404656,0,-0.011897439,0,-0.02014717,-0.019104035,0.014980007,8.23E-07,-0.005934528,-0.013459524,0.011228812,0.051839907,0.013489271,-0.005564519,0,-0.031032394,0,0,0,-0.015830851,-0.041127309,0.024325419,0,-0.020826762,0,-0.002077975,0.005884544,-0.014777417,0.002253133,0,0.027890169,-0.002096476,0,-0.018224753,0,0,0,0,-0.04037063,-0.034707372,-1.609437881,-0.031389942,0,0.004694024,0.015785527,0.113087703,0,-0.051602954,-0.025818988,-0.042248159,-0.021251,-0.023635945,-0.015382884,-0.007056466,0,-0.012301298,-0.005112973,-0.019311538
2015-01-06,0.001163061,-0.038580779,0.04179588,-0.006799377,-0.001023367,0.043167834,0.003930653,0.024338175,0.015646102,-0.000369533,-0.00832705,-0.058292994,-0.003562515,0,-0.000621065,-0.02014717,-0.007932048,-0.001740959,0.012710656,-0.009994851,-0.021053648,-0.017451644,0.006375714,0.005521016,-0.004195829,-0.017535097,-0.010181671,-0.049936778,-0.011225738,-0.002138886,0,-0.01294287,0.019244578,-0.008042832,-0.03065229,-0.008787781,0,0.009036221,0.008803441,-0.013498785,-0.02892117,0,0.025869283,-0.003152931,0.034317093,-0.009463319,-0.014598693,0.006318038,0,0.002739578,-0.037985563,-0.031984012,1.897119954,-0.049013357,0.001983077,-0.008413284,-0.002252761,0.058496243,0.014129972,-0.043081084,-0.008898532,-0.014799288,-0.015400513,-0.01239779,-0.012130406,-0.001251019,0,0.000640202,-0.003374152,-0.010012696
2015-01-07,0.005448341,0.000978055,0.028072973,0.007132573,-0.006505758,0.043947144,-0.002857108,-0.001851281,-0.007459641,0.005110601,0.012607693,-0.059866582,-0.015890784,0.001206674,-0.005346276,-0.007932048,0.008337066,-0.007918147,-0.007160879,0.008304624,0.032887825,0.012239847,-0.005021447,0.019762268,0.004320556,0.000732821,-0.008112019,-0.009077134,0.012523089,-0.007018428,-0.003578291,0.012491489,-0.023068646,-0.01491566,0.000126782,0.010619697,-0.019764271,-0.009982206,-8.20E-05,0.012808646,0.009223587,-0.001246768,-0.005617169,-0.002107427,0.011738067,0.012383923,0.007034059,0.044482162,0,0.004040881,-0.004595394,-0.003175825,0,-0.013486368,-0.001031334,-0.006316803,-0.010155089,-0.08959743,0.010573158,0.01491022,0.011216032,0.002127652,0.010431412,0.007493504,0.008432161,0.016956653,0,0.009762354,0.023240356,0.015689908
2015-01-08,0.01844162,-0.003721529,-0.038046039,0.03522671,0.002401785,0.001138287,0.003926444,-0.020593551,0.005475859,0.03300921,0.017892303,-0.012278467,-0.001252913,0.035152052,-0.003319573,0.008337066,0.023126898,-0.002011288,-0.001818894,0.006493287,0.045985308,0.016819769,-0.003155426,-0.006091463,0.009062328,0.010991362,0.011916498,0.021053357,0.019004085,0.022878451,0.015240016,0.018264667,0.019317604,0.016260632,0.016549536,0.016185982,0.004805792,0.000819859,0.000818867,0.018958562,0.005341406,0.013527829,-0.009677225,0.052400295,0.001665676,0.017589535,0.004661819,-0.015514614,0.034705808,0.00206873,0.031236815,0.030542636,-0.105360536,0.015493743,0.000322401,0.00517735,0.00045556,-0.126821649,-0.024272003,0.002873553,0.023501489,0.022201132,0.014833716,0.019830884,0.021742877,0.015059349,0,0.006945474,0.016940831,0.014890314
2015-01-09,-0.003638435,-0.016820392,0.024607445,-0.019225055,0.02704695,0.011031066,-0.005895505,-0.004423388,0.00115769,-0.019410368,-0.008652425,0.009562873,-0.006931419,-0.029843741,-0.003379439,0.023126898,-0.010542424,-0.001298389,0.006269593,0.003535511,0.011173036,-0.00964996,-0.00769691,0.014825027,0.011514753,0.010471809,0.015115505,0.060624578,0.005327734,0.005044652,-0.008653967,-0.006804949,0.006470328,0.010695361,0.001782687,-0.008286593,0.009893958,0.008849954,0.006038883,-0.006604323,0,-0.028575581,0.002138245,-0.005017622,-0.006918792,-0.008046048,0.008683313,0.009472354,-0.008624856,0.004016235,-0.02257436,-0.014371947,-0.182321536,-0.036070663,-8.06E-05,0.004207771,-0.003193288,0.031252487,-0.020906685,-0.008852354,-0.005152049,-0.007956534,-0.013588797,-0.010767664,-0.003146541,-0.008112052,0,-0.006312235,-0.008932785,-0.011640945
2015-01-12,0.001365965,-0.054965655,-0.081061335,0.011697195,-0.015462493,0.019499225,-0.009903715,0.010708764,0.003300346,0.013731316,-0.005544494,0.012162317,-0.005452065,0.013474822,0.006307138,-0.010542424,4.61E-05,0.006706387,0.013640062,0.004442956,-0.013986288,-0.003322272,0.001465467,-0.027807784,0.003084332,-0.001950256,-0.003298509,0.011142305,-0.009406409,-0.020334053,-0.010516312,-0.008402395,-0.052616218,-0.002663403,0,-0.006619491,0.001395665,0.017283938,0.009151754,-0.010481553,0.001520904,-0.005738864,0.009052045,0.01200028,0.002630007,-0.007864341,-0.020379204,0.006711396,0.006500336,-0.004669104,-0.030391222,-0.025357892,-0.143100801,-0.038860381,-0.000515903,-0.013277298,-0.011488568,0.110475679,-0.008841791,-0.048511066,-0.002275607,-0.029234345,-0.008326447,-0.006880772,-0.01170429,-0.003058976,0,-0.002324105,0.000426859,-0.005374441
2015-01-13,-0.001365965,-0.017869017,-0.170305727,0.014566063,0.012121361,-0.023727561,-0.030873497,0.007490672,-0.016276718,0.01613384,-0.001476558,-0.027231065,-0.003151261,0.015979708,-0.003306367,4.61E-05,0.006256007,-0.00125995,0.001297201,0.0078566,0.011205022,0.000767555,-0.001399818,-0.019445063,-0.00656337,-0.00198533,-0.000734516,-0.002773934,0.007633682,0.016131819,0.0029733,-0.000688374,0.051597362,-0.013422844,-0.006417879,-0.00167236,-0.003041324,0.001963477,0.005627477,-0.00029575,0.017326179,-0.010698099,0.035060047,-0.026185002,-0.028580294,-0.002816781,-0.00294558,-0.01618375,0.008483392,0.00163125,-0.011572962,-0.00402091,0.57054484,-0.021114759,-0.001113519,0.000980849,-0.000369845,0.047817829,-0.013411019,-0.003914757,-0.011245421,-0.00798726,-0.003349884,-0.002000549,-0.000736413,-0.000204196,0,0.002746079,-0.004422931,0
2015-01-14,-0.003994755,0.044087713,-0.237557715,-0.015749287,-0.001339585,0.007037327,-0.048174426,-0.040614719,0.005510543,-0.012543885,-0.010969453,-0.039413964,-0.009750388,-0.014201242,-0.004509499,0.006256007,-0.023774031,0,8.10E-05,-0.004277853,-0.011205022,-0.004015629,0.000437615,0.012543664,0.00553628,-0.001816843,0.00610428,-0.013986579,-0.015068595,-0.012003264,0.002000676,-0.004769519,0.093981015,-0.001352247,-0.017221109,-0.005431296,0.002567117,-0.043919718,-0.007241161,-0.005531213,0.004471107,0.005813587,-0.009917668,-0.002042665,-0.013854749,-0.006055443,-0.047419342,0.010818216,-0.021802234,0.002170896,-0.028443009,-0.012568638,0.083381622,-0.042079834,-0.000936882,-0.004514644,-0.003984299,0.043774834,-0.013593322,0.054904117,-0.011797085,0.003121247,-0.014364595,-0.005476473,-0.005661636,-0.003069196,0,0.008613094,-0.001574418,-0.012128359
2015-01-15,0.007860153,-0.021171411,0.164002353,0.023393252,-0.008075414,0.009769792,0.022464185,-0.008455335,-0.016793006,0.021717089,-0.005762935,-0.031355089,0.00712199,0.021672006,0.000648047,-0.023774031,0.017118015,0.004211045,0.024249859,0.009834718,-0.017045335,-0.017010675,0.00773653,0.06695928,0.012496323,0.000250787,-0.002111889,0.005618208,0.018611101,-0.005984733,-0.014805469,-0.014875184,-0.023471598,0.050142298,0.018448623,-0.004821666,-0.005783621,-0.018487985,0.018956737,-0.013060351,-0.00821178,-0.005649782,0.006876549,0.012195228,0.010901991,-0.009203151,-0.002167615,0.002015435,0.008373001,-0.000759257,-0.034333403,-0.01645449,-0.083381622,-0.062545112,-0.000581998,-0.00344409,0.004538959,0.041492155,-0.01378065,-0.047089868,-0.001908869,-0.012819007,-0.012417533,-0.004770573,-0.012919252,0.001638035,0,0.007916447,-0.010799933,-0.013003992
2015-01-16,0.017769248,0.000419473,-0.008360052,0.012966075,0.00471858,-0.013986242,0.016334639,-0.005895857,0.00607803,0.013382045,0.010115838,-0.036203031,-0.022672967,0.014114292,-0.012683432,0.017118015,0.007893306,-0.003497789,0.009600383,-0.010211358,-0.020261543,0.016154091,0.005121063,-0.005845949,-0.006869274,-0.013681519,-0.00513599,-0.019802681,-0.011687028,-0.002002589,0.012901409,0.013809819,-0.009864805,0,-0.014396391,0.013763736,0.003457651,-0.015848802,0.006082465,0.011672672,-0.013585506,0.036404418,0.038267358,-0.042296246,-0.023184386,0.013029635,-0.001240511,0.029754312,-0.003578957,-0.00065131,0.02228509,0.009905128,-0.245122503,0.047076914,-0.001051692,-0.01079149,-0.006025511,-0.066475721,-0.0069622,0.051412178,0.015797791,0.032010073,0.011991563,0.006599567,0.00970524,0.007947504,0,0.008883653,0.018646641,0.013147415
