"","Period","GrossExposure","Model","AnnualizedReturn","PortfolioRisk","SharpeRatio"
"1","2023",1,"Integrated",0.269398598092963,0.180633506572114,1.49140988958996
"2","2023",1,"LASSO",0.413193031738352,0.170598348093215,2.42202246596539
"3","2023",1,"OLS",0.411954391226399,0.17327549290105,2.37745329318813
"4","2023",1,"POET",0.009638623089659,0.0121758532931281,0.791617873311508
"5","2023",1.5,"Integrated",0.413029794424495,0.293679439801628,1.40639669805787
"6","2023",1.5,"LASSO",0.507859773075009,0.288147113027809,1.76250168789994
"7","2023",1.5,"OLS",0.506532451877138,0.286999470741516,1.76492468982057
"8","2023",1.5,"POET",0.0268268948470173,0.0225488057519942,1.18972575053758
"9","2023",2,"Integrated",0.465542606585256,0.317560273481667,1.4659976245805
"10","2023",2,"LASSO",0.556960064709697,0.310689656922655,1.79265724590358
"11","2023",2,"OLS",0.596662371188334,0.308241330739528,1.93569879080404
"12","2023",2,"POET",0.0296015043801343,0.0231492986276932,1.27872143585043
"13","2023",2.5,"Integrated",0.510859550223275,0.339052481224028,1.50672706590731
"14","2023",2.5,"LASSO",0.600359941829394,0.332657443482476,1.80473924029606
"15","2023",2.5,"OLS",0.606223752021375,0.333340484148937,1.81863224195268
"16","2023",2.5,"POET",0.0300990606243456,0.0232717972479457,1.29337069688515
"17","2023",3,"Integrated",0.554800696875985,0.35822836430165,1.54873469597402
"18","2023",3,"LASSO",0.640619182007779,0.352004568117196,1.81991723980835
"19","2023",3,"OLS",0.637578471347829,0.352648556852117,1.80797130445991
"20","2023",3,"POET",0.0301341884762629,0.0232575534307832,1.2956731913331
"21","2023-2024",1,"Integrated",0.258433798785519,0.175563481160309,1.47202480309411
"22","2023-2024",1,"LASSO",0.282919323284595,0.176427115180599,1.6036045422779
"23","2023-2024",1,"OLS",0.288160998459581,0.178054404043117,1.61838736878308
"24","2023-2024",1,"POET",0.0127941464971145,0.0117293338445394,1.09078202280608
"25","2023-2024",1.5,"Integrated",0.257327528697693,0.362731145975812,0.709416689337321
"26","2023-2024",1.5,"LASSO",0.231406356308554,0.399546574153107,0.579172420134126
"27","2023-2024",1.5,"OLS",0.235970729920821,0.393730784727874,0.599319989885759
"28","2023-2024",1.5,"POET",0.0361292149293075,0.0240274441259964,1.5036645071299
"29","2023-2024",2,"Integrated",0.242756920712877,0.421199856784873,0.576346161572568
"30","2023-2024",2,"LASSO",0.253838773272233,0.421127790979472,0.602759491796651
"31","2023-2024",2,"OLS",0.278576207681656,0.41669166501459,0.668542788519425
"32","2023-2024",2,"POET",0.0375267511581523,0.0246017959018491,1.52536633129827
"33","2023-2024",2.5,"Integrated",0.278081671503718,0.436367099620782,0.637265439455405
"34","2023-2024",2.5,"LASSO",0.288650639671332,0.436953107874084,0.660598664867518
"35","2023-2024",2.5,"OLS",0.289425172242248,0.432899286125601,0.668573918965239
"36","2023-2024",2.5,"POET",0.0376795247429599,0.0247162593998379,1.52448330200026
"37","2023-2024",3,"Integrated",0.316543539369325,0.447942949713393,0.706660389614031
"38","2023-2024",3,"LASSO",0.322508537115671,0.451627588224369,0.714102826144111
"39","2023-2024",3,"OLS",0.318321736118974,0.445347545435456,0.714771506841297
"40","2023-2024",3,"POET",0.0377227920467475,0.0246963723230691,1.52746288212987
"41","2024",1,"Integrated",0.247512683937467,0.170722493281107,1.44979539122545
"42","2024",1,"LASSO",0.153164633589618,0.182019912901941,0.841471854082979
"43","2024",1,"OLS",0.164860806460759,0.182704842837792,0.902334081024467
"44","2024",1,"POET",0.0159370980981657,0.0112879262082027,1.41187121568748
"45","2024",1.5,"Integrated",0.102245590722792,0.420776808508625,0.242992457415095
"46","2024",1.5,"LASSO",-0.0439456524229742,0.485770455001114,-0.0904658815095565
"47","2024",1.5,"OLS",-0.0335130568882598,0.476894974060806,-0.0702734537185263
"48","2024",1.5,"POET",0.0453944739754133,0.025446726570335,1.78390229682166
"49","2024",2,"Integrated",0.0208588272144911,0.503968608007327,0.0413891398850538
"50","2024",2,"LASSO",-0.0480748636176711,0.507767179244176,-0.0946789504773265
"51","2024",2,"OLS",-0.0369754047213823,0.501517831614798,-0.0737269991025605
"52","2024",2,"POET",0.0454204232478117,0.0260048603335236,1.74661285103151
"53","2024",2.5,"Integrated",0.046231194691411,0.515661269890776,0.0896541923755558
"54","2024",2.5,"LASSO",-0.0218167927570162,0.520449910965304,-0.0419191017182643
"55","2024",2.5,"OLS",-0.0248491160645357,0.512871186100025,-0.0484509887433788
"56","2024",2.5,"POET",0.0452297878093088,0.026113627973636,1.73203768756192
"57","2024",3,"Integrated",0.0792356135658786,0.522534105633837,0.151637209344958
"58","2024",3,"LASSO",0.00566526531078216,0.53265546051913,0.0106358907975162
"59","2024",3,"OLS",0.000336940074297616,0.521534270920695,0.000646055481076625
"60","2024",3,"POET",0.0452811621368716,0.0260886056916461,1.7356681561319
