Model,Annualized Return (%),Annualized Risk (%),Sharpe Ratio,MSPE,QLIKE,Gross Exposure,Year
Integrated,-4.3002,8.0088,-0.5369,0.0000,0.0000,1.0000,2022
LASSO-only,1.7466,8.0182,0.2178,0.0000,0.0000,1.0000,2022
POET-only,-6.7065,9.7249,-0.6896,0.0000,0.0000,1.0000,2022
OLS (Shrinkage),-7.1114,9.9795,-0.7126,0.0000,0.0000,1.0000,2022
Integrated,-1.3005,4.5957,-0.2830,0.0000,0.0000,1.2500,2022
LASSO-only,0.0094,4.0166,0.0023,0.0000,0.0000,1.2500,2022
POET-only,-4.2463,2.7363,-1.5519,0.0000,0.0000,1.2500,2022
OLS (Shrinkage),-1.2114,0.7236,-1.6742,0.0000,0.0000,1.2500,2022
Integrated,-0.5786,4.6314,-0.1249,0.0000,0.0000,1.5000,2022
LASSO-only,-1.4540,4.4284,-0.3283,0.0000,0.0000,1.5000,2022
POET-only,-1.1818,2.1151,-0.5587,0.0000,0.0000,1.5000,2022
OLS (Shrinkage),-1.8078,1.6023,-1.1283,0.0000,0.0000,1.5000,2022
Integrated,1.9619,4.8275,0.4064,0.0000,0.0000,1.7500,2022
LASSO-only,0.1554,4.6349,0.0335,0.0000,0.0000,1.7500,2022
POET-only,-0.5788,3.0714,-0.1885,0.0000,0.0000,1.7500,2022
OLS (Shrinkage),-2.7893,2.7356,-1.0196,0.0000,0.0000,1.7500,2022
Integrated,1.7495,5.3513,0.3269,0.0000,0.0000,2.0000,2022
LASSO-only,3.1168,5.0685,0.6149,0.0000,0.0000,2.0000,2022
POET-only,-4.1201,3.9948,-1.0313,0.0000,0.0000,2.0000,2022
OLS (Shrinkage),-3.8455,3.2200,-1.1943,0.0000,0.0000,2.0000,2022
Integrated,0.7241,5.6907,0.1272,0.0000,0.0000,2.2500,2022
LASSO-only,2.9809,5.3181,0.5605,0.0000,0.0000,2.2500,2022
POET-only,-9.1632,4.8049,-1.9070,0.0000,0.0000,2.2500,2022
OLS (Shrinkage),-4.1549,3.1516,-1.3184,0.0000,0.0000,2.2500,2022
Integrated,1.4519,5.9117,0.2456,0.0000,0.0000,2.5000,2022
LASSO-only,1.9161,5.6305,0.3403,0.0000,0.0000,2.5000,2022
POET-only,-5.8770,5.0727,-1.1586,0.0000,0.0000,2.5000,2022
OLS (Shrinkage),-5.1474,3.3006,-1.5595,0.0000,0.0000,2.5000,2022
Integrated,0.0417,6.0043,0.0069,0.0000,0.0000,2.7500,2022
LASSO-only,0.5839,5.8203,0.1003,0.0000,0.0000,2.7500,2022
POET-only,-8.5032,5.1848,-1.6400,0.0000,0.0000,2.7500,2022
OLS (Shrinkage),-4.3502,3.2339,-1.3452,0.0000,0.0000,2.7500,2022
Integrated,-0.4458,6.0471,-0.0737,0.0000,0.0000,3.0000,2022
LASSO-only,0.4634,5.8253,0.0795,0.0000,0.0000,3.0000,2022
POET-only,-9.2314,5.2135,-1.7707,0.0000,0.0000,3.0000,2022
OLS (Shrinkage),-5.4843,3.3394,-1.6423,0.0000,0.0000,3.0000,2022
Integrated,12.5512,6.8326,1.8370,0.0000,0.0000,1.0000,2023
LASSO-only,13.7572,6.8377,2.0120,0.0000,0.0000,1.0000,2023
POET-only,8.0761,6.5193,1.2388,0.0000,0.0000,1.0000,2023
OLS (Shrinkage),5.9390,6.4712,0.9178,0.0000,0.0000,1.0000,2023
Integrated,0.7805,1.4217,0.5490,0.0000,0.0000,1.2500,2023
LASSO-only,0.5895,0.7583,0.7774,0.0000,0.0000,1.2500,2023
POET-only,0.1466,0.1689,0.8678,0.0000,0.0000,1.2500,2023
OLS (Shrinkage),0.0000,0.0000,0.0000,0.0000,0.0000,1.2500,2023
Integrated,0.9243,2.8132,0.3285,0.0000,0.0000,1.5000,2023
LASSO-only,0.7971,1.8742,0.4253,0.0000,0.0000,1.5000,2023
POET-only,0.2350,1.3360,0.1759,0.0000,0.0000,1.5000,2023
OLS (Shrinkage),0.0000,0.0000,0.0000,0.0000,0.0000,1.5000,2023
Integrated,3.6777,3.5388,1.0393,0.0000,0.0000,1.7500,2023
LASSO-only,1.5981,2.7465,0.5819,0.0000,0.0000,1.7500,2023
POET-only,0.3564,1.4923,0.2388,0.0000,0.0000,1.7500,2023
OLS (Shrinkage),0.5582,0.2957,1.8875,0.0000,0.0000,1.7500,2023
Integrated,8.8973,4.8886,1.8200,0.0000,0.0000,2.0000,2023
LASSO-only,3.8069,3.5957,1.0588,0.0000,0.0000,2.0000,2023
POET-only,0.7258,2.3009,0.3154,0.0000,0.0000,2.0000,2023
OLS (Shrinkage),0.5577,1.2729,0.4381,0.0000,0.0000,2.0000,2023
Integrated,13.4045,5.1449,2.6054,0.0000,0.0000,2.2500,2023
LASSO-only,9.0704,4.8765,1.8600,0.0000,0.0000,2.2500,2023
POET-only,4.1817,2.8237,1.4809,0.0000,0.0000,2.2500,2023
OLS (Shrinkage),0.6081,1.9064,0.3190,0.0000,0.0000,2.2500,2023
Integrated,9.4930,5.3713,1.7674,0.0000,0.0000,2.5000,2023
LASSO-only,6.8214,5.4140,1.2600,0.0000,0.0000,2.5000,2023
POET-only,2.7864,2.8381,0.9818,0.0000,0.0000,2.5000,2023
OLS (Shrinkage),3.6268,2.0977,1.7289,0.0000,0.0000,2.5000,2023
Integrated,11.7245,5.3699,2.1834,0.0000,0.0000,2.7500,2023
LASSO-only,5.5691,5.4454,1.0227,0.0000,0.0000,2.7500,2023
POET-only,3.0847,2.8004,1.1015,0.0000,0.0000,2.7500,2023
OLS (Shrinkage),1.8157,2.0872,0.8699,0.0000,0.0000,2.7500,2023
Integrated,9.4994,5.5998,1.6964,0.0000,0.0000,3.0000,2023
LASSO-only,6.5433,5.6640,1.1552,0.0000,0.0000,3.0000,2023
POET-only,1.8233,2.8869,0.6316,0.0000,0.0000,3.0000,2023
OLS (Shrinkage),3.8504,2.0774,1.8534,0.0000,0.0000,3.0000,2023
Integrated,10.6725,7.0398,1.5160,0.0000,0.0000,1.0000,2024
LASSO-only,11.8188,7.3888,1.5995,0.0000,0.0000,1.0000,2024
POET-only,6.8760,5.6993,1.2065,0.0000,0.0000,1.0000,2024
OLS (Shrinkage),6.0179,6.0282,0.9983,0.0000,0.0000,1.0000,2024
Integrated,7.0977,2.9118,2.4376,0.0000,0.0000,1.2500,2024
LASSO-only,4.6290,1.9645,2.3563,0.0000,0.0000,1.2500,2024
POET-only,0.8318,0.9143,0.9098,0.0000,0.0000,1.2500,2024
OLS (Shrinkage),0.0325,0.0323,1.0040,0.0000,0.0000,1.2500,2024
Integrated,6.4722,4.4023,1.4702,0.0000,0.0000,1.5000,2024
LASSO-only,3.8293,4.4639,0.8578,0.0000,0.0000,1.5000,2024
POET-only,5.7480,2.4695,2.3276,0.0000,0.0000,1.5000,2024
OLS (Shrinkage),0.3601,1.2329,0.2921,0.0000,0.0000,1.5000,2024
Integrated,12.4653,5.1325,2.4287,0.0000,0.0000,1.7500,2024
LASSO-only,8.3660,5.0777,1.6476,0.0000,0.0000,1.7500,2024
POET-only,4.9543,2.5180,1.9676,0.0000,0.0000,1.7500,2024
OLS (Shrinkage),5.1748,1.8256,2.8346,0.0000,0.0000,1.7500,2024
