"","Var1","Count"
"1","Aluminium",501
"2","Brent",501
"3","BTC",501
"4","COCOA",501
"5","COFFEE",501
"6","Copper",501
"7","Corn",501
"8","COTTON",501
"9","DAX",501
"10","ETHANOL",501
"11","EUR_KRW",501
"12","FTSE100",501
"13","HangSeng",501
"14","Hyundai",501
"15","Kakao",501
"16","KOSDAQ",501
"17","KOSPI",501
"18","LGChem",501
"19","MSCI_EM",501
"20","NaturalGas",501
"21","Naver",501
"22","Nikkei225",501
"23","NYSE",501
"24","OMX",501
"25","Palladium",501
"26","Platinum",501
"27","Russell2000",501
"28","S.P500",501
"29","Shanghai",501
"30","Silver",501
"31","SKHynix",501
"32","Soybeans",501
"33","STEEL",501
"34","SUGAR",501
"35","Swedish.Consumer.Products.and.Services.GI",501
"36","US10Y",501
"37","US3M",501
"38","US5Y",501
"39","USDKRW",501
"40","VIX",501
"41","WHEAT",501
"42","WTI",501
"43","X10.Yr.U.S..Treasury",501
"44","X5.year.Tresury",501
"45","XLB",501
"46","XLRE",501
"47","DowJones",462
"48","CAC40",368
"49","XLE",349
"50","XLU",134
"51","EuroStoxx50",132
"52","DIA",60
"53","Samsung",44
