"","Period","GrossExposure","Model","AnnualizedReturn","PortfolioRisk","SharpeRatio"
"1","2023",1,"Integrated",0.201264696634383,0.125597667170515,1.6024556918015
"2","2023",1,"LASSO",0.437574892456892,0.17870078090088,2.4486456648424
"3","2023",1,"OLS",0.442733782568987,0.181699700801854,2.43662361916486
"4","2023",1,"POET",0.0103291587136119,0.0121935453267876,0.847100530386361
"5","2023",1.5,"Integrated",0.213392653200562,0.177097503266791,1.20494444734827
"6","2023",1.5,"LASSO",0.57549130735136,0.290134417800184,1.98353339708804
"7","2023",1.5,"OLS",0.568915875061269,0.289381699872423,1.96597046500204
"8","2023",1.5,"POET",0.0266475935788385,0.0225095327591406,1.18383592693711
"9","2023",2,"Integrated",0.19327144622192,0.224146825905277,0.862253772460715
"10","2023",2,"LASSO",0.654122061823195,0.310893021302503,2.10401011602871
"11","2023",2,"OLS",0.641568933416541,0.309481400161836,2.07304520750213
"12","2023",2,"POET",0.0300615522585801,0.023067758708475,1.30318478871272
"13","2023",2.5,"Integrated",0.2183918962764,0.287529082926179,0.759547152774351
"14","2023",2.5,"LASSO",0.673699443615744,0.33163676090659,2.03143777479331
"15","2023",2.5,"OLS",0.694407343182821,0.332323002395931,2.0895554571197
"16","2023",2.5,"POET",0.0302365889562193,0.0232254136067948,1.30187515572912
"17","2023",3,"Integrated",0.272251309772329,0.320655406570855,0.849046372502595
"18","2023",3,"LASSO",0.753199981004698,0.35478726694142,2.12296226834167
"19","2023",3,"OLS",0.746223162603543,0.355563170514393,2.09870769664919
"20","2023",3,"POET",0.030419935367836,0.0231991965790796,1.31124951953155
"21","2023-2024",1,"Integrated",0.243967289650047,0.146949945860945,1.6602067338011
"22","2023-2024",1,"LASSO",0.312273019722667,0.183587036335014,1.70095354201821
"23","2023-2024",1,"OLS",0.319812470781185,0.186103230339211,1.71846813297255
"24","2023-2024",1,"POET",0.0131042143993588,0.011725375061967,1.11759447609179
"25","2023-2024",1.5,"Integrated",0.217644433657817,0.259609899721611,0.838351826687674
"26","2023-2024",1.5,"LASSO",0.286301573735062,0.39908602245672,0.717393137380828
"27","2023-2024",1.5,"OLS",0.284078407019494,0.392079946896411,0.724542046254024
"28","2023-2024",1.5,"POET",0.0358834452094106,0.023970441414129,1.49698725148464
"29","2023-2024",2,"Integrated",0.111322362354809,0.318152327204445,0.349902712744492
"30","2023-2024",2,"LASSO",0.327081448037221,0.417907995738457,0.782663771386469
"31","2023-2024",2,"OLS",0.313556501536814,0.406651194069922,0.771069914731146
"32","2023-2024",2,"POET",0.0376363655151929,0.0244999771156155,1.53617961917216
"33","2023-2024",2.5,"Integrated",0.0622266500776734,0.371175859247959,0.167647352399887
"34","2023-2024",2.5,"LASSO",0.353507250222836,0.434289918562758,0.813989077602205
"35","2023-2024",2.5,"OLS",0.373782136886603,0.422215945424314,0.885286642859884
"36","2023-2024",2.5,"POET",0.0375554135644246,0.0246549940535577,1.52323758354366
"37","2023-2024",3,"Integrated",0.0641219054231762,0.416580406071333,0.153924439288669
"38","2023-2024",3,"LASSO",0.396709445744687,0.452086159970614,0.877508494775583
"39","2023-2024",3,"OLS",0.400559494085676,0.438788544803101,0.912875914446262
"40","2023-2024",3,"POET",0.0376338179104288,0.0246250805238917,1.52827187200122
"41","2024",1,"Integrated",0.286499752813059,0.165717997787205,1.7288390919431
"42","2024",1,"LASSO",0.187470357636785,0.188355534060197,0.995300502170918
"43","2024",1,"OLS",0.197380885335166,0.190437453172455,1.03646043384346
"44","2024",1,"POET",0.0158571580876096,0.0112634445986476,1.40784268513325
"45","2024",1.5,"Integrated",0.2218792747507,0.321801779545648,0.689490515136279
"46","2024",1.5,"LASSO",-0.00173600954810262,0.483772285917982,-0.00358848491043355
"47","2024",1.5,"OLS",0.000375749607368013,0.47265626331416,0.000794974353525627
"48","2024",1.5,"POET",0.0450825006183469,0.0253739262094318,1.77672545613336
"49","2024",2,"Integrated",0.0296997688616699,0.390317539435352,0.07609129967522
"50","2024",2,"LASSO",0.00134378490378133,0.502174442062618,0.00267593248724866
"51","2024",2,"OLS",-0.0144559303429139,0.484518763452213,-0.029835646074705
"52","2024",2,"POET",0.0451810002329348,0.0258853294215873,1.7454288294765
"53","2024",2.5,"Integrated",-0.0933164238254405,0.439326289504741,-0.212408012119278
"54","2024",2.5,"LASSO",0.0358663890481981,0.516285547619896,0.0694700620878196
"55","2024",2.5,"OLS",0.054434321850529,0.495703070011353,0.109812355709805
"56","2024",2.5,"POET",0.0448450795088522,0.0260394130497086,1.72220009042615
"57","2024",3,"Integrated",-0.143178298111836,0.494294195428741,-0.289662106971834
"58","2024",3,"LASSO",0.0416391915016489,0.531400675018053,0.0783574305776604
"59","2024",3,"OLS",0.0562729716575214,0.508138676765406,0.110743334901667
"60","2024",3,"POET",0.0448189598851227,0.0260062891750107,1.72338927647505
